relationship_name,victim_age,victim_race,victim_sex,victim_ethnicity,offender_age,offender_sex,offender_ethnicity,offender_race,location_name,offense_name,crime_against,ct_flag,hc_flag,offense_category_name,incident_hour,month_num,latitude,longitude
0,3.828641396489095,2,0,1,4.02535169073515,1,1,5,23,1,1,1,0,12,10.0,9,-74.63586063803551,39.476945996090066
17,3.784189633918261,5,0,1,4.04305126783455,0,1,5,35,1,1,1,0,12,10.0,9,-74.67539936442375,39.56469641891817
11,4.110873864173311,5,1,1,3.295836866004329,1,1,5,35,18,0,0,1,1,19.0,9,-74.72094596414776,39.57256699273355
24,3.4339872044851463,5,1,0,3.367295829986474,0,0,5,35,20,0,0,1,11,17.0,9,-74.66411967035786,39.55384923035703
24,3.784189633918261,2,1,1,3.4657359027997265,0,1,2,33,20,0,0,1,11,17.0,9,-74.65947785194312,39.54433170406306
3,3.258096538021482,2,0,1,3.4657359027997265,1,1,2,25,18,0,0,1,1,21.0,9,-74.66429978531808,39.61520815529246
0,4.1588830833596715,2,1,1,4.127134385045092,1,1,5,35,18,0,0,1,1,10.0,9,-74.73100336537567,39.56266468535398
13,3.6375861597263857,5,1,1,3.5553480614894135,1,1,5,24,21,1,1,1,13,19.0,9,-74.62247768659387,39.46542878781262
23,3.7376696182833684,5,0,1,3.912023005428146,1,1,1,35,18,0,0,1,1,16.0,9,-74.64224508860453,39.50410854259823
24,3.367295829986474,5,0,1,3.4339872044851463,1,1,2,35,20,0,0,1,11,9.0,10,-74.74972926939837,39.57275102768673
8,3.784189633918261,5,0,1,3.4965075614664802,1,1,5,35,7,1,0,1,5,22.0,10,-74.6603519509814,39.49560545042625
22,4.189654742026425,5,1,1,4.0943445622221,1,1,5,35,1,1,1,0,12,11.0,10,-74.66418831328811,39.463615746044745
20,3.2188758248682006,5,0,1,3.295836866004329,0,1,5,14,18,0,0,1,1,10.0,10,-74.71940526232085,39.49170802913917
0,3.912023005428146,1,0,1,3.871201010907891,1,1,5,33,30,0,0,1,1,15.0,10,-74.73974832691424,39.5198305583622
1,3.4965075614664802,5,1,0,3.6109179126442243,0,1,5,35,20,0,0,1,11,16.0,10,-74.71468542817112,39.5252516200955
24,3.784189633918261,2,1,1,3.4657359027997265,1,0,2,35,20,0,0,1,11,16.0,10,-74.61882761951026,39.50990361342463
3,3.4965075614664802,1,0,3,3.5553480614894135,1,1,2,35,30,0,0,1,1,23.0,10,-74.71020428604163,39.55767541576201
3,3.8501476017100584,5,1,0,3.4657359027997265,0,0,5,35,18,0,0,1,1,12.0,10,-74.64595447826163,39.539043237881856
24,3.4339872044851463,5,1,1,3.5553480614894135,1,1,5,14,18,0,0,1,1,20.0,10,-74.76848206303235,39.56861179006841
3,3.4339872044851463,5,1,1,3.258096538021482,0,1,5,35,18,0,0,1,1,16.0,10,-74.67859198604287,39.574372405568845
3,3.258096538021482,2,0,1,3.367295829986474,1,1,2,33,36,1,1,1,15,20.0,10,-74.66985886685423,39.571471271570864
3,3.258096538021482,2,0,1,3.367295829986474,1,1,2,15,16,0,0,0,8,20.0,10,-74.67950325631747,39.51402339920863
24,3.4965075614664802,5,1,0,3.6109179126442243,0,1,5,35,20,0,0,1,11,10.0,10,-74.65207360933502,39.49051897925105
15,3.4965075614664802,2,1,3,3.295836866004329,0,1,2,35,18,0,0,1,1,14.0,10,-74.66384608163804,39.60530660847368
8,3.6375861597263857,2,1,1,3.7376696182833684,0,1,2,22,20,0,0,1,11,19.0,10,-74.71414889992523,39.548255507860596
16,3.970291913552122,2,1,1,3.6888794541139363,0,1,2,25,0,0,0,1,1,19.0,10,-74.77649066178411,39.54120572109542
20,4.276666119016055,5,1,1,3.091042453358316,1,1,2,24,7,1,0,1,5,17.0,10,-74.75578188585989,39.55329972182905
1,3.7612001156935624,5,1,0,3.6888794541139363,1,1,2,35,1,1,1,0,12,17.0,10,-74.68942296410466,39.543523327814654
1,3.4965075614664802,5,1,0,3.6109179126442243,0,1,5,35,20,0,0,1,11,16.0,10,-74.71912209035794,39.488918127089185
24,3.784189633918261,2,1,1,3.4657359027997265,0,1,2,10,20,0,0,1,11,16.0,10,-74.7600387309981,39.53044997122297
24,3.4965075614664802,5,1,0,3.6109179126442243,0,1,5,35,20,0,0,1,11,9.0,10,-74.6925150494548,39.5420467499826
20,3.784189633918261,5,1,1,3.970291913552122,1,1,2,25,5,1,0,1,4,20.0,10,-74.64179281479716,39.46955059385808
0,4.060443010546419,2,0,1,3.295836866004329,0,1,2,35,30,0,0,1,1,11.0,10,-74.66423087356733,39.54987563911149
1,3.4965075614664802,5,1,0,3.6109179126442243,0,1,5,35,20,0,0,1,11,16.0,10,-74.65469533115773,39.49326435827073
24,3.784189633918261,2,1,1,3.4657359027997265,0,1,2,22,20,0,0,1,11,17.0,10,-74.61971207706901,39.51743840405977
23,3.4339872044851463,2,1,1,3.367295829986474,0,1,5,35,18,0,0,1,1,12.0,10,-74.7121752205321,39.5829192957088
16,3.5553480614894135,5,1,1,3.4657359027997265,0,1,5,35,30,0,0,1,1,7.0,10,-74.75857785603641,39.44523786332804
14,3.9318256327243257,5,0,1,3.1354942159291497,1,1,5,35,7,1,0,1,5,8.0,10,-74.6954457845576,39.48791425941276
24,3.5263605246161616,5,1,0,3.6109179126442243,0,1,5,35,20,0,0,1,11,9.0,10,-74.65839026739451,39.48139868329757
20,4.189654742026425,5,1,1,2.8903717578961645,1,1,5,13,6,1,1,1,8,19.0,10,-74.6922982092725,39.55549781107859
3,3.828641396489095,5,1,1,3.9889840465642745,0,1,5,35,30,0,0,1,1,9.0,11,-74.7035250041301,39.52305056463879
3,3.713572066704308,5,0,1,3.4339872044851463,0,1,5,35,30,0,0,1,1,23.0,11,-74.69240488983903,39.46286565631402
19,2.772588722239781,5,0,0,3.332204510175204,0,0,5,35,30,0,0,1,1,12.0,11,-74.6706567150594,39.4956426045721
3,4.007333185232471,5,0,1,4.143134726391533,1,1,5,35,18,0,0,1,1,17.0,11,-74.64883486688494,39.58561628582769
3,3.4965075614664802,5,0,1,3.6375861597263857,1,1,5,35,18,0,0,1,1,20.0,11,-74.67395957497281,39.55704840062941
5,3.6109179126442243,2,1,1,3.5553480614894135,0,1,2,6,6,1,1,1,8,21.0,11,-74.68148737600144,39.47400705339903
1,3.6109179126442243,2,1,1,3.5553480614894135,0,1,2,35,6,1,1,1,8,17.0,11,-74.70676175085748,39.487553831348066
14,3.8501476017100584,5,0,1,3.1780538303479458,1,1,5,35,30,0,0,1,1,19.0,11,-74.669209858302,39.44763875753503
16,4.2626798770413155,5,1,0,3.7612001156935624,0,0,5,25,30,0,0,1,1,8.0,11,-74.67192372575467,39.50970538944475
3,3.8066624897703196,3,0,3,3.871201010907891,1,1,2,12,33,1,1,1,17,20.0,11,-74.69804216369442,39.60909425581243
24,3.6635616461296463,2,1,1,3.7376696182833684,0,1,2,22,20,0,0,1,11,19.0,11,-74.68522365372921,39.51489819427554
24,3.8501476017100584,2,0,1,3.5553480614894135,1,1,1,25,1,1,1,0,12,17.0,11,-74.69555857790013,39.55877092476101
23,3.5553480614894135,5,0,1,3.58351893845611,1,1,5,33,30,0,0,1,1,19.0,11,-74.7332115226196,39.53145314497433
3,4.290459441148391,5,1,1,4.189654742026425,0,1,5,35,18,0,0,1,1,5.0,11,-74.72001975190891,39.54614241657602
1,4.248495242049359,5,1,1,3.4011973816621555,1,1,5,35,30,0,0,1,1,10.0,11,-74.74955800434428,39.54513112804349
1,2.833213344056216,2,0,1,4.248495242049359,1,1,1,10,11,0,0,1,15,11.0,11,-74.72797297282797,39.50558522602322
24,3.6375861597263857,5,0,1,4.110873864173311,0,1,2,16,18,0,0,1,1,11.0,11,-74.70313443745847,39.45209957415127
14,3.9889840465642745,2,0,1,3.1780538303479458,0,1,2,35,18,0,0,1,1,22.0,11,-74.7247211994584,39.53549144655739
20,4.143134726391533,5,0,1,3.6888794541139363,0,1,5,31,1,1,1,0,12,15.0,11,-74.71700591185204,39.61102555691682
15,3.828641396489095,5,0,0,3.4965075614664802,0,0,5,35,30,0,0,1,1,16.0,12,-74.70479938130289,39.600762826948504
13,3.9318256327243257,5,0,1,4.394449154672439,0,1,5,35,30,0,0,1,1,0.0,12,-74.70778245211865,39.617269810230106
15,3.7612001156935624,5,1,1,3.912023005428146,1,1,5,35,30,0,0,1,1,11.0,12,-74.68151410436138,39.50236576051965
20,4.343805421853684,5,1,1,3.4011973816621555,1,1,5,35,10,1,1,1,8,11.0,12,-74.72147836759694,39.55271016714808
15,3.1780538303479458,0,0,1,3.332204510175204,1,1,0,35,30,0,0,1,1,15.0,12,-74.70281537451442,39.468801295010785
23,3.828641396489095,2,1,0,3.7612001156935624,0,1,5,33,20,0,0,1,11,10.0,12,-74.60942901208153,39.648265894212265
3,3.9512437185814275,5,1,1,3.713572066704308,0,1,5,25,30,0,0,1,1,3.0,12,-74.63573845605848,39.53518251760559
16,3.713572066704308,5,0,1,3.713572066704308,1,1,5,25,18,0,0,1,1,19.0,12,-74.76127590268875,39.609865416022615
24,4.248495242049359,5,0,1,3.6635616461296463,0,1,5,18,18,0,0,1,1,9.0,1,-74.73150931502148,39.522660779544395
20,3.7376696182833684,5,1,1,4.143134726391533,1,3,2,22,34,0,0,0,12,6.0,1,-74.625930269803,39.934449075267146
20,3.7376696182833684,5,1,1,4.143134726391533,1,3,2,0,9,1,1,1,4,6.0,1,-74.63969127931534,39.88055166786386
20,3.7376696182833684,5,1,1,4.143134726391533,1,3,2,28,15,0,0,0,9,6.0,1,-74.63945063516097,39.83023028687755
15,3.784189633918261,2,0,3,3.912023005428146,1,1,2,9,0,0,0,1,1,15.0,1,-74.7075994388144,39.88986658682663
20,3.4657359027997265,5,0,1,3.7376696182833684,1,1,5,35,30,0,0,1,1,21.0,2,-74.64318055114163,39.9353844470722
20,3.2188758248682006,5,1,1,3.4339872044851463,1,1,2,10,37,1,1,1,11,9.0,2,-74.66337754304244,39.917383446080684
20,3.2188758248682006,5,1,1,3.4339872044851463,1,1,2,26,31,0,0,0,7,9.0,2,-74.6313403305239,39.86473641918709
20,3.2188758248682006,5,1,1,3.4339872044851463,1,1,2,5,3,1,1,1,3,9.0,2,-74.73957618345594,39.86615975205711
20,4.276666119016055,5,0,2,3.7612001156935624,1,1,5,35,1,1,1,0,12,18.0,2,-74.67108196190638,39.897463574621895
16,4.1588830833596715,5,0,1,4.382026634673881,1,1,5,35,30,0,0,1,1,2.0,7,-74.73124080651564,39.86289387097062
16,3.4657359027997265,5,0,1,3.4657359027997265,1,3,5,35,30,0,0,1,1,0.0,8,-74.70150810583951,39.946278959509236
20,4.276666119016055,5,0,1,4.02535169073515,1,3,2,18,29,1,0,0,12,11.0,10,-74.67710339911386,39.77777000662175
