relationship_name,victim_age,victim_race,victim_sex,victim_ethnicity,offender_age,offender_sex,offender_ethnicity,offender_race,location_name,offense_name,crime_against,ct_flag,hc_flag,offense_category_name,incident_hour,month_num,latitude,longitude
14,3.8501476017100584,5,0,1,3.1780538303479458,1,1,5,35,30,0,0,1,1,19.0,11.0,-74.64785222325827,39.61828543253705
16,4.2626798770413155,5,1,0,3.7612001156935624,0,0,5,25,30,0,0,1,1,8.0,11.0,-74.65453765520984,39.54839506128137
24,3.6635616461296463,2,1,1,3.7376696182833684,0,1,2,22,20,0,0,1,11,19.0,11.0,-74.67871596859709,39.5814737762721
24,3.8501476017100584,2,0,1,3.5553480614894135,1,1,1,25,1,1,1,0,12,17.0,11.0,-74.67790493320493,39.56952085814296
23,3.5553480614894135,5,0,1,3.58351893845611,1,1,5,33,30,0,0,1,1,19.0,11.0,-74.67300079415935,39.567637644389926
3,4.290459441148391,5,1,1,4.189654742026425,0,1,5,35,18,0,0,1,1,5.0,11.0,-74.62889806148817,39.56618715306542
1,4.248495242049359,5,1,1,3.4011973816621555,1,1,5,35,30,0,0,1,1,10.0,11.0,-74.73632084453887,39.50662279912709
1,2.833213344056216,2,0,1,4.248495242049359,1,1,1,10,11,0,0,1,15,11.0,11.0,-74.66119445665427,39.62681066042037
24,3.6375861597263857,5,0,1,4.110873864173311,0,1,2,16,18,0,0,1,1,11.0,11.0,-74.68837891082318,39.52762469308599
14,3.9889840465642745,2,0,1,3.1780538303479458,0,1,2,35,18,0,0,1,1,22.0,11.0,-74.6416235025712,39.61976051060469
20,4.143134726391533,5,0,1,3.6888794541139363,0,1,5,31,1,1,1,0,12,15.0,11.0,-74.66124236604793,39.46462123671763
15,3.828641396489095,5,0,0,3.4965075614664802,0,0,5,35,30,0,0,1,1,16.0,12.0,-74.72596941909734,39.546846021056105
13,3.9318256327243257,5,0,1,4.394449154672439,0,1,5,35,30,0,0,1,1,0.0,12.0,-74.68833095533465,39.531274508894064
15,3.7612001156935624,5,1,1,3.912023005428146,1,1,5,35,30,0,0,1,1,11.0,12.0,-74.6818830202198,39.523498279342505
20,4.343805421853684,5,1,1,3.4011973816621555,1,1,5,35,10,1,1,1,8,11.0,12.0,-74.63395131021923,39.53237469604503
15,3.1780538303479458,0,0,1,3.332204510175204,1,1,0,35,30,0,0,1,1,15.0,12.0,-74.65972264916799,39.561570156762876
23,3.828641396489095,2,1,0,3.7612001156935624,0,1,5,33,20,0,0,1,11,10.0,12.0,-74.68497910688495,39.5564044103651
3,3.9512437185814275,5,1,1,3.713572066704308,0,1,5,25,30,0,0,1,1,3.0,12.0,-74.67390454552881,39.64362778276239
16,3.713572066704308,5,0,1,3.713572066704308,1,1,5,25,18,0,0,1,1,19.0,12.0,-74.73131526951407,39.50993441567602
24,4.248495242049359,5,0,1,3.6635616461296463,0,1,5,18,18,0,0,1,1,9.0,1.0,-74.72985231906516,39.52214125076626
15,3.784189633918261,2,0,3,3.912023005428146,1,1,2,9,0,0,0,1,1,15.0,1.0,-74.67712387543592,39.83191254968639
20,3.4657359027997265,5,0,1,3.7376696182833684,1,1,5,35,30,0,0,1,1,21.0,2.0,-74.61595064956134,39.794916254019576
20,4.276666119016055,5,0,2,3.7612001156935624,1,1,5,35,1,1,1,0,12,18.0,2.0,-74.6977800606114,39.8824596909107
16,4.1588830833596715,5,0,1,4.382026634673881,1,1,5,35,30,0,0,1,1,2.0,7.0,-74.75054331051903,39.85218668599518
16,3.4657359027997265,5,0,1,3.4657359027997265,1,3,5,35,30,0,0,1,1,0.0,8.0,-74.6280259531529,39.94034236588697
20,4.276666119016055,5,0,1,4.02535169073515,1,3,2,18,29,1,0,0,12,11.0,10.0,-74.6368248597197,39.84853928164898
20,3.970291913552122,5,0,3,4.007333185232471,0,3,2,24,10,1,1,1,8,13.0,10.0,-74.7771513902858,39.87781104800962
3,3.5553480614894135,5,0,1,3.295836866004329,1,1,2,35,30,0,0,1,1,14.0,10.0,-74.6268960728496,39.766570373221896
3,3.6109179126442243,2,1,1,3.367295829986474,0,1,5,35,30,0,0,1,1,13.0,11.0,-74.7024903540646,40.00606907869047
20,3.784189633918261,5,1,2,3.713572066704308,1,1,5,25,37,1,0,0,12,16.0,6.0,-74.62473780379551,39.86249483576026
16,3.8918202981106265,2,0,1,4.02535169073515,1,1,2,25,30,0,0,1,1,19.0,6.0,-74.76583261140681,39.83922461801402
20,3.258096538021482,5,1,0,3.828641396489095,1,1,2,7,30,0,0,1,1,0.0,1.0,-74.74258077529596,39.52266899270125
20,3.6375861597263857,5,1,1,4.02535169073515,1,1,5,41,0,0,0,1,1,19.0,6.0,-74.81141998099508,39.872599840758056
3,3.4011973816621555,5,0,1,3.4657359027997265,0,1,5,35,30,0,0,1,1,9.0,1.0,-74.69308380739432,39.55028846241278
20,3.6375861597263857,5,1,0,3.8066624897703196,2,3,4,31,37,1,0,0,12,2.0,7.0,-74.71164199798822,39.8934887189036
16,3.6375861597263857,5,0,0,3.4657359027997265,1,0,5,35,30,0,0,1,1,3.0,7.0,-74.67765110336589,39.88289147763404
8,3.295836866004329,5,1,1,3.295836866004329,1,1,5,35,30,0,0,1,1,13.0,1.0,-74.64751095902997,39.57577012637549
8,3.6888794541139363,5,0,1,3.091042453358316,1,1,2,35,4,1,1,1,3,19.0,1.0,-74.63298321447807,39.544381269445765
15,3.5263605246161616,5,0,0,3.5553480614894135,1,0,5,22,30,0,0,1,1,14.0,1.0,-74.59077604356371,39.46807566341768
24,3.4339872044851463,5,0,0,3.4657359027997265,0,1,2,24,30,0,0,1,1,12.0,1.0,-74.65406294912249,39.54201229761918
1,3.4339872044851463,5,1,1,3.258096538021482,1,1,5,35,30,0,0,1,1,20.0,1.0,-74.7638460164019,39.511096926795695
24,4.143134726391533,5,1,1,4.0943445622221,1,1,5,35,1,1,1,0,12,13.0,1.0,-74.64597882428265,39.6443180469847
