relationship_name,victim_age,victim_race,victim_sex,victim_ethnicity,offender_age,offender_sex,offender_ethnicity,offender_race,location_name,offense_name,crime_against,ct_flag,hc_flag,offense_category_name,incident_hour,month_num,latitude,longitude
20,4.110873864173311,2,1,1,3.091042453358316,1,0,5,16,34,1,1,0,12,16.0,10.0,-74.68717607200267,39.90997496188584
20,4.0943445622221,5,0,1,4.007333185232471,1,1,2,31,1,1,1,0,12,16.0,11.0,-74.68923406523324,39.93936134550258
20,3.4657359027997265,5,1,1,3.4011973816621555,1,1,5,7,0,0,0,1,1,3.0,3.0,-74.69783048388672,39.58486410530754
3,3.332204510175204,2,0,1,3.332204510175204,1,1,2,35,7,1,0,1,5,16.0,3.0,-74.66756275337664,39.50654716832027
22,4.060443010546419,5,1,0,2.995732273553991,1,1,5,35,0,0,0,1,1,13.0,1.0,-74.64149258421642,39.89710219501597
3,3.713572066704308,5,1,0,3.4339872044851463,0,1,5,35,30,0,0,1,1,10.0,3.0,-74.71602939445633,39.530079881651524
20,3.6635616461296463,5,0,1,3.828641396489095,1,1,2,7,0,0,0,1,1,0.0,3.0,-74.58678025254373,39.506363450315355
20,2.9444389791664403,5,0,1,3.4657359027997265,1,0,5,7,26,0,0,1,15,12.0,3.0,-74.65314333498723,39.6100796944076
3,3.332204510175204,2,1,1,3.295836866004329,1,1,2,24,30,0,0,1,1,19.0,3.0,-74.81123869386523,39.5748976950659
3,3.6888794541139363,5,0,0,3.871201010907891,1,1,3,35,30,0,0,1,1,11.0,3.0,-74.70653517479083,39.55188455608128
3,3.4011973816621555,5,0,1,3.367295829986474,1,1,5,25,30,0,0,1,1,2.0,3.0,-74.64832277277682,39.50914577995295
20,3.4657359027997265,5,1,1,3.4657359027997265,1,1,2,25,0,0,0,1,1,21.0,3.0,-74.64843799460668,39.544771195606955
3,3.4339872044851463,5,0,1,3.4339872044851463,1,1,5,25,30,0,0,1,1,11.0,3.0,-74.74469798602978,39.550017057424846
24,4.2626798770413155,5,0,1,4.07753744390572,1,0,5,35,11,0,0,1,15,11.0,3.0,-74.64979695616248,39.4565268041446
8,3.258096538021482,5,0,1,2.9444389791664403,0,1,5,7,30,0,0,1,1,6.0,3.0,-74.6041992406186,39.54621596682594
