relationship_name,victim_age,victim_race,victim_sex,victim_ethnicity,offender_age,offender_sex,offender_ethnicity,offender_race,location_name,offense_name,crime_against,ct_flag,hc_flag,offense_category_name,incident_hour,month_num,latitude,longitude
0,3.828641396489095,2,0,1,4.02535169073515,1,1,5,23,1,1,1,0,12,10.0,9,-74.69045001454622,39.64576118888464
17,3.784189633918261,5,0,1,4.04305126783455,0,1,5,35,1,1,1,0,12,10.0,9,-74.7123178534976,39.41497597403514
11,4.110873864173311,5,1,1,3.295836866004329,1,1,5,35,18,0,0,1,1,19.0,9,-74.63735164622531,39.48068434019003
24,3.4339872044851463,5,1,0,3.367295829986474,0,0,5,35,20,0,0,1,11,17.0,9,-74.6988264336901,39.561689302942014
24,3.784189633918261,2,1,1,3.4657359027997265,0,1,2,33,20,0,0,1,11,17.0,9,-74.72515910074165,39.566816281432175
3,3.258096538021482,2,0,1,3.4657359027997265,1,1,2,25,18,0,0,1,1,21.0,9,-74.68158712443757,39.57575753080472
0,4.1588830833596715,2,1,1,4.127134385045092,1,1,5,35,18,0,0,1,1,10.0,9,-74.6874908657562,39.50596760145255
13,3.6375861597263857,5,1,1,3.5553480614894135,1,1,5,24,21,1,1,1,13,19.0,9,-74.65993306354976,39.48423429850111
23,3.7376696182833684,5,0,1,3.912023005428146,1,1,1,35,18,0,0,1,1,16.0,9,-74.69965222921529,39.52034024911066
24,3.367295829986474,5,0,1,3.4339872044851463,1,1,2,35,20,0,0,1,11,9.0,10,-74.73932303935088,39.49686940262835
8,3.784189633918261,5,0,1,3.4965075614664802,1,1,5,35,7,1,0,1,5,22.0,10,-74.68508241307838,39.46348832225235
22,4.189654742026425,5,1,1,4.0943445622221,1,1,5,35,1,1,1,0,12,11.0,10,-74.6616515001258,39.557409546260125
20,3.2188758248682006,5,0,1,3.295836866004329,0,1,5,14,18,0,0,1,1,10.0,10,-74.69528517899579,39.5105961180623
0,3.912023005428146,1,0,1,3.871201010907891,1,1,5,33,30,0,0,1,1,15.0,10,-74.67595816557814,39.41799601043507
1,3.4965075614664802,5,1,0,3.6109179126442243,0,1,5,35,20,0,0,1,11,16.0,10,-74.69147911254512,39.48424743946637
24,3.784189633918261,2,1,1,3.4657359027997265,1,0,2,35,20,0,0,1,11,16.0,10,-74.68786665660164,39.51678457918112
3,3.4965075614664802,1,0,3,3.5553480614894135,1,1,2,35,30,0,0,1,1,23.0,10,-74.79576462405296,39.533923711507384
3,3.8501476017100584,5,1,0,3.4657359027997265,0,0,5,35,18,0,0,1,1,12.0,10,-74.66067227567473,39.60308206509208
24,3.4339872044851463,5,1,1,3.5553480614894135,1,1,5,14,18,0,0,1,1,20.0,10,-74.65939479500233,39.50133022632329
3,3.4339872044851463,5,1,1,3.258096538021482,0,1,5,35,18,0,0,1,1,16.0,10,-74.56532925586134,39.51729889337027
3,3.258096538021482,2,0,1,3.367295829986474,1,1,2,35,30,1,0,1,1,20.0,10,-74.70192779538885,39.562915435790934
3,3.258096538021482,2,0,1,3.367295829986474,1,1,2,35,30,0,0,1,8,20.0,10,-74.74483877179428,39.550525006161415
24,3.4965075614664802,5,1,0,3.6109179126442243,0,1,5,35,20,0,0,1,11,10.0,10,-74.67724856499999,39.69019555692662
15,3.4965075614664802,2,1,3,3.295836866004329,0,1,2,35,18,0,0,1,1,14.0,10,-74.6813792136968,39.490560980156594
8,3.6375861597263857,2,1,1,3.7376696182833684,0,1,2,22,20,0,0,1,11,19.0,10,-74.59842586455441,39.61836342826879
16,3.970291913552122,2,1,1,3.6888794541139363,0,1,2,25,0,0,0,1,1,19.0,10,-74.7575925228504,39.5508672771131
20,4.276666119016055,5,1,1,3.091042453358316,1,1,2,24,7,1,0,1,5,17.0,10,-74.69582863172768,39.456145056288385
1,3.7612001156935624,5,1,0,3.6888794541139363,1,1,2,35,1,1,1,0,12,17.0,10,-74.73166472432759,39.500133567815205
1,3.4965075614664802,5,1,0,3.6109179126442243,0,1,5,35,20,0,0,1,11,16.0,10,-74.74573090192465,39.581542540227666
24,3.784189633918261,2,1,1,3.4657359027997265,0,1,2,10,20,0,0,1,11,16.0,10,-74.58860213716652,39.465949377567775
24,3.4965075614664802,5,1,0,3.6109179126442243,0,1,5,35,20,0,0,1,11,9.0,10,-74.70845682842602,39.57878233588991
20,3.784189633918261,5,1,1,3.970291913552122,1,1,2,25,5,1,0,1,4,20.0,10,-74.74047797355863,39.568456965349874
0,4.060443010546419,2,0,1,3.295836866004329,0,1,2,35,30,0,0,1,1,11.0,10,-74.7327851812422,39.58957210817599
1,3.4965075614664802,5,1,0,3.6109179126442243,0,1,5,35,20,0,0,1,11,16.0,10,-74.70630149881418,39.50621550907906
24,3.784189633918261,2,1,1,3.4657359027997265,0,1,2,22,20,0,0,1,11,17.0,10,-74.71521768370503,39.514529957257054
23,3.4339872044851463,2,1,1,3.367295829986474,0,1,5,35,18,0,0,1,1,12.0,10,-74.70351872001709,39.55319709743118
16,3.5553480614894135,5,1,1,3.4657359027997265,0,1,5,35,30,0,0,1,1,7.0,10,-74.6733122386759,39.5219590646652
14,3.9318256327243257,5,0,1,3.1354942159291497,1,1,5,35,7,1,0,1,5,8.0,10,-74.71917618649867,39.526754198861816
24,3.5263605246161616,5,1,0,3.6109179126442243,0,1,5,35,20,0,0,1,11,9.0,10,-74.60945790629931,39.489094842368
20,4.189654742026425,5,1,1,2.8903717578961645,1,1,5,13,6,1,1,1,8,19.0,10,-74.67515906155019,39.56621892744671
3,3.828641396489095,5,1,1,3.9889840465642745,0,1,5,35,30,0,0,1,1,9.0,11,-74.69441281475366,39.51420452357168
3,3.713572066704308,5,0,1,3.4339872044851463,0,1,5,35,30,0,0,1,1,23.0,11,-74.73112212205369,39.56514435971235
19,2.772588722239781,5,0,0,3.332204510175204,0,0,5,35,30,0,0,1,1,12.0,11,-74.66884343757816,39.55724152931
3,4.007333185232471,5,0,1,4.143134726391533,1,1,5,35,18,0,0,1,1,17.0,11,-74.69315282298987,39.63724596675444
3,3.4965075614664802,5,0,1,3.6375861597263857,1,1,5,35,18,0,0,1,1,20.0,11,-74.67045207089699,39.53818725924
5,3.6109179126442243,2,1,1,3.5553480614894135,0,1,2,6,6,1,1,1,8,21.0,11,-74.62886375512528,39.52570744178741
1,3.6109179126442243,2,1,1,3.5553480614894135,0,1,2,35,6,1,1,1,8,17.0,11,-74.64838460563135,39.55459405711598
14,3.8501476017100584,5,0,1,3.1780538303479458,1,1,5,35,30,0,0,1,1,19.0,11,-74.67586289913841,39.56374069233121
