data_year,weapon_id,offense_id,nibrs_weapon_id
2022,41,186621154,
2022,39,186621164,
2022,39,186621166,
2022,39,186621179,
2022,42,186621183,
2022,41,186621186,
2022,42,186621199,
2022,21,186621208,
2022,41,190041074,
2022,39,194321767,
2022,39,187041166,
2022,42,194321773,
2022,38,188511259,
2022,39,194321783,
2022,38,194321784,
2022,41,194321785,
2022,39,194321802,
2022,3,181458312,
2022,41,185441638,
2022,21,179383026,
2022,39,185713458,
2022,42,194321827,
2022,41,180573733,
2022,41,194321863,
2022,41,194321867,
2022,41,194321868,
2022,41,194321878,
2022,41,194321879,
2022,38,194321885,
2022,38,194321918,
2022,41,194321919,
2022,38,194321920,
2022,41,189455714,
2022,39,189455724,
2022,41,189455731,
2022,41,189455732,
2022,37,189455734,
2022,41,189455740,
2022,21,189455746,
2022,41,184337090,
2022,41,190959158,
2022,39,198429631,
2022,21,179239782,
2022,21,179239783,
2022,21,179933729,
2022,41,179933730,
2022,41,179383030,
2022,41,179502522,
2022,41,179383031,
2022,41,179502525,
2022,41,189455787,
2022,38,189455791,
2022,21,189455794,
2022,39,187310921,
2022,41,185566957,
2022,41,189455807,
2022,38,189455809,
2022,41,185551274,
2022,41,182643279,
2022,42,189455835,
2022,41,179559708,
2022,21,196721723,
2022,21,180120956,
2022,31,190677782,
2022,38,179933734,
2022,41,185566958,
2022,41,185566959,
2022,1,190677799,
2022,3,190677800,
2022,41,190677803,
2022,41,180033030,
2022,42,180120960,
2022,41,185566962,
2022,41,190677819,
2022,41,190677820,
2022,41,190677822,
2022,39,190677824,
2022,39,185672863,
2022,39,199306710,
2022,41,190677835,
2022,41,190677837,
2022,42,183217940,
2022,41,190677838,
2022,41,182643290,
2022,41,181606186,
2022,41,190677863,
2022,38,190677875,
2022,41,190677879,
2022,42,190677890,
2022,42,190677892,
2022,41,190677908,
2022,41,190677911,
2022,41,194321927,
2022,41,194321934,
2022,42,194321935,
2022,41,194321938,
2022,38,194321947,
2022,38,194321950,
2022,42,194321951,
2022,41,194321954,
2022,41,194321955,
2022,41,194321958,
2022,41,194321964,
2022,42,194321974,
2022,41,194321980,
2022,41,194321985,
2022,42,185672865,
2022,41,185551276,
2022,41,194322008,
2022,21,185551277,
2022,3,181286900,
2022,41,181522624,
2022,21,182938737,
2022,41,194322021,
2022,39,181312107,
2022,41,194322023,
2022,41,194322024,
2022,41,194322028,
2022,41,194322033,
2022,41,194322038,
2022,41,194322043,
2022,41,194322045,
2022,41,194322054,
2022,1,194322061,
2022,41,194322063,
2022,41,194322116,
2022,42,194322124,
2022,41,194322125,
2022,41,194322130,
2022,41,194322131,
2022,41,194322138,
2022,38,194322145,
2022,21,194322147,
2022,41,194322148,
2022,41,194322154,
2022,41,194322156,
2022,41,194322190,
2022,41,196411911,
2022,41,196411914,
2022,37,196411928,
2022,21,196411934,
2022,41,196411940,
2022,42,196411975,
2022,41,196411979,
2022,41,196411988,
2022,41,180120969,
2022,41,196412004,
2022,3,191659826,
2022,41,196412005,
2022,41,196412010,
2022,38,196412016,
2022,42,196412021,
2022,3,181482891,
2022,41,185566963,
2022,41,181440139,
2022,41,196412033,
2022,42,196412040,
2022,41,196412045,
2022,41,180180327,
2022,41,196412046,
2022,41,185566964,
2022,41,196412048,
2022,38,199109603,
2022,41,196412054,
2022,41,180949139,
2022,41,196412058,
2022,41,181449854,
2022,42,185666720,
2022,41,180949140,
2022,41,180949141,
2022,41,196412072,
2022,3,181286904,
2022,41,196412075,
2022,41,187279635,
2022,41,187352067,
2022,41,181408114,
2022,21,185566965,
2022,21,185566966,
2022,41,185666721,
2022,3,187390613,
2022,3,187390614,
2022,41,180573774,
2022,41,180949143,
2022,42,200186597,
2022,41,180949144,
2022,42,190630355,
2022,39,202049329,
2022,41,190179211,
