data_year,bias_id,offense_id
2022,88,194317386
2022,88,194317387
2022,88,194317388
2022,88,194317389
2022,88,194317390
2022,88,194317391
2022,88,194317392
2022,88,194317393
2022,88,194317394
2022,88,194317395
2022,88,194317396
2022,88,194317397
2022,88,194317398
2022,88,194317399
2022,88,194317400
2022,88,194317401
2022,88,194317402
2022,88,194317403
2022,88,194317404
2022,88,194317405
2022,88,194317406
2022,88,194317407
2022,88,194317408
2022,88,194317409
2022,88,194317410
2022,88,194317411
2022,88,194317412
2022,88,194317413
2022,88,194317414
2022,88,194317415
2022,88,194317416
2022,88,194317417
2022,88,194317418
2022,88,194317419
2022,88,194317420
2022,88,194317421
2022,88,194317422
2022,88,194317423
2022,88,194317424
2022,88,194317425
2022,88,194317426
2022,88,194317427
2022,88,194317429
2022,88,194317430
2022,88,194317431
2022,88,194317432
2022,88,194317433
2022,88,194317434
2022,88,194317435
2022,88,194317436
2022,88,194317437
2022,88,194317438
2022,88,194317439
2022,88,194317440
2022,88,194317442
2022,88,194317443
2022,88,194317444
2022,88,194317445
2022,88,194317446
2022,88,194317447
2022,88,194317448
2022,88,194317449
2022,88,194317450
2022,88,194317451
2022,88,194317452
2022,88,194317453
2022,88,194317454
2022,88,194317455
2022,88,194317456
2022,88,194317457
2022,88,194317458
2022,88,194317459
2022,88,194317460
2022,88,194317461
2022,88,194317462
2022,88,194317463
2022,88,194317464
2022,88,194317465
2022,88,194317466
2022,88,194317467
2022,88,194317468
2022,88,194317469
2022,88,194317470
2022,88,194317471
2022,88,194317472
2022,88,194317473
2022,88,194317474
2022,88,194317475
2022,88,194317476
2022,88,194317477
2022,88,194317478
2022,88,194317479
2022,88,194317480
2022,88,194317481
2022,88,194317482
2022,88,194317483
2022,88,194317484
2022,88,194317485
2022,88,194317486
2022,88,194317487
2022,88,194317488
2022,88,194317489
2022,88,194317490
2022,88,194317491
2022,88,194317492
2022,88,194317493
2022,88,194317494
2022,88,194317495
2022,88,194317496
2022,88,194317497
2022,88,194317498
2022,88,194317499
2022,88,194317501
2022,88,194317502
2022,88,194317503
2022,88,194317504
2022,88,194317505
2022,88,194317506
2022,88,194317507
2022,88,194317508
2022,88,194317509
2022,88,194317510
2022,88,194317511
2022,88,194317512
2022,88,194317513
2022,88,194317514
2022,88,194317515
2022,88,194317516
2022,88,194317517
2022,88,194317518
2022,88,194317519
2022,88,194317520
2022,88,194317521
2022,88,194317522
2022,88,194317523
2022,88,194317524
2022,88,194317525
2022,88,194317526
2022,88,194317527
2022,88,194315153
2022,88,194315154
2022,88,192326341
2022,88,194315155
2022,88,194315156
2022,88,194315157
2022,88,192279541
2022,88,194315158
2022,88,194315159
2022,88,192279542
2022,88,194315160
2022,88,194315161
2022,88,200562882
2022,88,200562883
2022,88,200562884
2022,88,200562885
2022,88,194315162
2022,88,192796760
2022,88,196809191
2022,88,194315163
2022,88,192507025
2022,88,196809192
2022,88,196809193
2022,88,192441893
2022,88,194315164
2022,88,194315165
2022,88,194315166
2022,88,194315167
2022,88,192510517
2022,88,196809194
2022,88,194315168
2022,88,194315169
2022,88,194315170
2022,88,192796764
2022,88,194315171
2022,88,194315172
2022,88,202033034
2022,88,196809195
2022,88,194315173
2022,88,194315174
2022,88,194315175
2022,88,194315176
2022,88,194315177
2022,88,194315178
2022,88,194315179
2022,88,194315180
2022,88,194315181
2022,88,194315182
2022,88,194315183
2022,88,194315184
2022,88,194315185
2022,88,194315186
2022,88,194315187
2022,88,194315189
2022,88,194315190
2022,88,194315191
2022,88,194315192
2022,88,194315193
2022,88,194315194
2022,88,194315195
2022,88,195429528
2022,88,195429529
2022,88,195429530
2022,88,194315196
2022,88,194315197
2022,88,194315198
2022,88,194315199
2022,88,194315200
2022,88,194315201
2022,88,194315202
2022,88,195466544
2022,88,194315203
2022,88,202033035
2022,88,202033036
2022,88,202033037
2022,88,194315204
2022,88,194315205
2022,88,194315206
2022,88,194315207
2022,88,194315208
2022,88,194742068
2022,88,195902920
2022,88,202033038
2022,88,194315209
2022,88,194315210
2022,88,196855832
2022,12,196809196
2022,88,196809197
2022,88,196855833
2022,88,195169236
2022,88,195169237
2022,88,195169238
2022,88,194315215
2022,88,194315216
2022,88,195623417
2022,88,196809198
2022,88,194315218
2022,88,194315219
2022,88,194315220
2022,88,194315221
2022,88,199528172
2022,88,194315222
2022,88,199528173
2022,88,194315223
2022,88,194315224
2022,88,194315225
2022,88,194315226
2022,88,194315227
2022,88,194720238
2022,88,194720239
2022,88,194315228
2022,88,202033039
2022,88,202033040
2022,88,203274599
2022,88,196809199
2022,88,196809201
2022,88,196809202
2022,88,194764287
2022,88,194315229
2022,88,194315230
2022,88,194315231
2022,88,194315232
