data_year,victim_id,offense_id
2022,177976845,192326287
2022,177931277,192279527
2022,177976846,192326288
2022,177931278,192279528
2022,179957466,194315140
2022,177931279,192279529
2022,179957467,194315141
2022,177976847,192326289
2022,177976848,192326290
2022,187807586,202188053
2022,187807587,202188053
2022,177976851,192326294
2022,177976852,192326295
2022,177976853,192326296
2022,177931280,192279530
2022,177931280,192279531
2022,177976854,192326297
2022,187654454,202033031
2022,187654454,202033032
2022,177976855,192326298
2022,177976856,192326299
2022,179957469,194315143
2022,177976857,192326300
2022,187654455,202033033
2022,179957470,194315144
2022,177976858,192326301
2022,177976859,192326302
2022,177931281,192279532
2022,177931282,192279533
2022,177976860,192326303
2022,177976861,192326304
2022,177976863,192326306
2022,177976864,192326307
2022,179957471,194315145
2022,177976866,192326309
2022,177976867,192326310
2022,177976868,192326311
2022,177976869,192326312
2022,179957472,194315146
2022,177976870,192326313
2022,177976871,192326314
2022,177976872,192326315
2022,177931286,192279537
2022,177976873,192326316
2022,184818992,199172517
2022,184818993,199172517
2022,184818994,199172517
2022,177976878,192326319
2022,177976879,192326320
2022,177976879,192326321
2022,177976880,192326322
2022,177976881,192326323
2022,177976882,192326324
2022,177976883,192326325
2022,177976884,192326326
2022,177931288,192279539
2022,179957473,194315147
2022,177976885,192326327
2022,179957474,194315148
2022,179957474,194315149
2022,177976886,192326328
2022,178151423,192507021
2022,178151424,192507022
2022,177976888,192326331
2022,178089361,192441891
2022,177976890,192326333
2022,177976890,192326334
2022,177976892,192326336
2022,177976893,192326337
2022,177931289,192279540
2022,179957475,194315150
2022,177976894,192326338
2022,179957476,194315151
2022,177976895,192326339
2022,177976896,192326340
2022,179957477,194315152
2022,186397717,200761517
2022,179957478,194315153
2022,179957479,194315154
2022,177976897,192326341
2022,179957480,194315155
2022,179957481,194315156
2022,179957481,194315157
2022,177931290,192279541
2022,179957482,194315158
2022,179957482,194315159
2022,177931291,192279542
2022,179957483,194315160
2022,179957484,194315161
2022,186197578,200562882
2022,186197578,200562883
2022,186197578,200562884
2022,186197579,200562885
2022,179957485,194315162
2022,178435634,192796760
2022,173460299,187800840
2022,173460299,187800841
2022,173460300,187800842
2022,173377978,187717187
2022,173377979,187717188
2022,173377980,187717189
2022,173377980,187717190
2022,173377981,187717191
2022,173377981,187717192
2022,173377982,187717193
2022,173377983,187717194
2022,173377983,187717195
2022,173377984,187717196
2022,173377985,187717197
2022,173377986,187717198
2022,173377986,187717199
2022,173377987,187717200
2022,179957486,194315163
2022,178151427,192507025
2022,178089363,192441893
2022,179957487,194315164
2022,179957488,194315165
2022,179957489,194315166
2022,179957490,194315167
2022,178154783,192510517
2022,179957491,194315168
2022,179957491,194315169
2022,179957491,194315170
2022,178435636,192796764
2022,179957492,194315171
2022,179957493,194315172
2022,187654456,202033034
2022,175042501,189380724
2022,179957494,194315173
2022,179957495,194315174
2022,179957496,194315175
2022,179957497,194315176
2022,179957498,194315177
2022,179957499,194315178
2022,179957500,194315179
2022,179957501,194315180
2022,179957502,194315181
2022,179957502,194315182
2022,179957503,194315183
2022,179957504,194315184
2022,179957505,194315185
2022,179957506,194315186
2022,179957507,194315187
2022,179957509,194315189
2022,179957510,194315190
2022,179957511,194315191
2022,179957512,194315192
2022,179957513,194315193
2022,179957514,194315194
2022,179957515,194315195
2022,181074970,195429528
2022,181074970,195429529
2022,181074970,195429530
2022,179957516,194315196
2022,179957517,194315197
2022,179957518,194315198
2022,179957519,194315199
2022,179957520,194315200
2022,179957520,194315201
2022,179957521,194315202
2022,181111707,195466544
2022,179957522,194315203
2022,187654457,202033035
2022,187654457,202033036
2022,187654457,202033037
2022,179957523,194315204
2022,179957524,194315205
2022,179957525,194315206
2022,179957526,194315207
2022,179957527,194315208
2022,180388706,194742068
2022,181548238,195902920
2022,187654458,202033038
2022,179957528,194315209
2022,179957529,194315210
2022,182497360,196855832
2022,175042501,189380725
2022,175042503,189380727
2022,175042504,189380728
2022,175042504,189380729
2022,175042505,189380730
2022,175042506,189380730
2022,179959590,194317360
2022,179959590,194317361
2022,179959591,194317362
2022,179959592,194317363
2022,179959593,194317364
2022,179959594,194317365
2022,179959595,194317366
2022,179959596,194317367
2022,179959597,194317368
2022,181410276,195763895
2022,179959598,194317369
2022,179959598,194317370
2022,179959599,194317371
2022,179959600,194317372
2022,179959601,194317373
2022,179959602,194317373
2022,179959603,194317373
2022,179959604,194317373
2022,179959605,194317373
2022,179959606,194317374
2022,179959607,194317375
2022,179959607,194317376
2022,182497360,196855833
2022,180819556,195169236
2022,179959609,194317378
2022,179959610,194317378
2022,179959611,194317379
2022,179959612,194317380
2022,179959612,194317381
2022,179959613,194317382
2022,180819556,195169237
2022,180819556,195169238
2022,179957532,194315215
2022,179959614,194317383
2022,179959614,194317384
2022,179957533,194315216
2022,179959615,194317385
2022,181267919,195623417
2022,179959616,194317386
2022,179959617,194317387
2022,179959617,194317388
2022,179959618,194317389
2022,179957535,194315218
2022,179959619,194317390
2022,179957536,194315219
2022,179959620,194317391
2022,179957537,194315220
2022,179959621,194317392
2022,179959622,194317393
2022,179957538,194315221
2022,179959623,194317394
2022,185169875,199528172
2022,179959624,194317394
2022,179959625,194317395
2022,179957539,194315222
2022,179959626,194317396
2022,179959626,194317397
2022,179959626,194317398
2022,185169876,199528173
2022,179959627,194317399
2022,179959628,194317400
2022,179957540,194315223
2022,179959629,194317401
2022,179959629,194317402
2022,179957541,194315224
2022,179959630,194317403
2022,179957541,194315225
2022,179957542,194315226
2022,179959631,194317404
2022,179957543,194315227
2022,179959632,194317407
2022,179959633,194317405
2022,179959633,194317406
2022,180366707,194720238
2022,179959634,194317408
2022,179959635,194317409
2022,180366707,194720239
2022,179957544,194315228
2022,179959636,194317410
2022,179959637,194317410
2022,187654459,202033039
2022,179959638,194317411
2022,179959639,194317412
2022,187654459,202033040
2022,188899858,203274599
2022,179959640,194317413
2022,179959640,194317414
2022,179959641,194317415
2022,179959642,194317416
2022,179959643,194317416
2022,179959644,194317417
2022,179959645,194317418
2022,179959646,194317419
2022,179959646,194317420
2022,179959647,194317421
2022,179959648,194317422
2022,179959649,194317423
2022,179959650,194317424
2022,179959651,194317425
2022,179959652,194317425
2022,179959653,194317425
2022,179959654,194317426
2022,179959655,194317427
2022,179959657,194317429
2022,179959658,194317430
2022,179959659,194317431
2022,179959660,194317432
2022,179959661,194317433
2022,179959662,194317435
2022,179959662,194317436
2022,179959663,194317434
2022,179959664,194317437
2022,179959665,194317439
2022,179959666,194317438
2022,179959667,194317440
2022,179959670,194317442
2022,179959671,194317443
2022,179959672,194317444
2022,179959673,194317445
2022,179959674,194317446
2022,179959674,194317447
2022,179959675,194317448
2022,179959676,194317449
2022,179959677,194317450
2022,179959678,194317450
2022,179959679,194317451
2022,179959680,194317451
2022,179959681,194317452
2022,179959682,194317453
2022,179959683,194317453
2022,179959684,194317454
2022,179959685,194317454
2022,179959686,194317454
2022,179959687,194317455
2022,179959688,194317456
2022,179959689,194317457
2022,179959690,194317458
2022,179959691,194317459
2022,179959692,194317460
2022,179959693,194317461
2022,179959694,194317462
2022,179959694,194317463
2022,179959695,194317464
2022,179959696,194317465
2022,179959697,194317466
2022,179959698,194317467
2022,179959699,194317468
2022,179959700,194317468
2022,179959701,194317469
2022,179959702,194317470
2022,179959703,194317471
2022,179959704,194317472
2022,179959704,194317473
2022,179959705,194317474
2022,179959706,194317475
2022,179959707,194317476
2022,179959708,194317477
2022,179959709,194317477
2022,179959710,194317478
2022,179959711,194317479
2022,179959712,194317480
2022,179959713,194317481
2022,179959714,194317482
2022,179959715,194317483
2022,179959716,194317484
2022,179959717,194317485
2022,179959718,194317486
2022,179959718,194317487
2022,179959718,194317488
2022,179959719,194317490
2022,179959720,194317489
2022,179959721,194317491
2022,179959722,194317492
2022,179959723,194317493
2022,179959724,194317493
2022,179959725,194317494
2022,179959726,194317495
2022,179959727,194317495
2022,179959728,194317496
2022,179959729,194317496
2022,179959730,194317497
2022,179959731,194317498
2022,179959732,194317499
2022,179959734,194317501
2022,179959735,194317502
2022,179959736,194317503
2022,179959737,194317503
2022,179959738,194317505
2022,179959739,194317504
2022,179959740,194317504
2022,179959741,194317506
2022,179959741,194317507
2022,179959742,194317508
2022,179959743,194317509
2022,179959744,194317509
2022,179959745,194317510
2022,179959745,194317511
2022,179959746,194317512
2022,179959746,194317513
2022,179959747,194317514
2022,179959748,194317516
2022,179959749,194317515
2022,179959750,194317517
2022,179959751,194317518
2022,179959752,194317519
2022,179959753,194317520
2022,179959754,194317521
2022,179959755,194317522
2022,179959756,194317523
2022,179959757,194317524
2022,179959757,194317525
2022,179959758,194317526
2022,179959759,194317527
2022,180410888,194764287
2022,179957545,194315229
2022,179957545,194315230
2022,179957545,194315231
2022,179957546,194315232
2022,180391497,194744774
2022,180366708,194720240
2022,180366708,194720241
2022,181074971,195429531
2022,181074971,195429532
2022,181074972,195429531
2022,181074972,195429532
2022,180410889,194764288
2022,180933036,195284090
2022,180391498,194744775
2022,181111708,195466545
2022,180804526,195153997
2022,182451540,196809191
2022,182451541,196809192
2022,182451542,196809193
2022,182451543,196809194
2022,182451543,196809195
2022,182451544,196809196
2022,182451545,196809197
2022,182451546,196809198
2022,182451546,196809199
2022,182451548,196809201
2022,182451549,196809202
2022,182451550,196809203
2022,182451551,196809204
2022,182451552,196809205
2022,182451554,196809207
2022,182451555,196809208
2022,182451555,196809209
2022,182451556,196809210
2022,182451557,196809211
2022,182451558,196809211
2022,182451559,196809212
2022,182451560,196809212
2022,182451561,196809213
2022,182451562,196809213
2022,182451563,196809214
2022,182451563,196809215
2022,182451564,196809214
2022,182451564,196809215
2022,180933037,195284091
2022,184327331,198680838
2022,180992370,195346882
2022,180766371,195115956
2022,182128258,196480722
2022,180766372,195115957
2022,181020211,195375208
2022,181020212,195375207
2022,181424329,195778069
2022,181424330,195778070
2022,181111709,195466546
2022,181111710,195466547
2022,180992372,195346884
2022,180819557,195169239
2022,185169877,199528174
2022,184818559,199172084
2022,187654460,202033041
2022,187654461,202033042
2022,181518574,195873266
2022,181074973,195429533
2022,181111711,195466548
2022,181424331,195778071
2022,184064027,198422211
2022,184064027,198422212
2022,188593203,202969145
2022,181424332,195778071
2022,174331977,188666969
2022,174331978,188666969
2022,174331979,188666970
2022,174331980,188666971
2022,174331981,188666971
2022,174331982,188666972
2022,174331983,188666973
2022,174331984,188666974
2022,174331985,188666975
2022,174331986,188666976
2022,174331987,188666977
2022,174331988,188666977
2022,174331989,188666978
2022,174331990,188666979
2022,174331990,188666980
2022,174331991,188666981
2022,174331992,188666982
2022,174331993,188666983
2022,174331994,188666984
2022,174331995,188666985
2022,174331996,188666986
2022,174331997,188666987
2022,174331998,188666988
2022,174331999,188666989
2022,174332000,188666990
2022,174332001,188666991
2022,174332002,188666992
2022,174332003,188666993
2022,174332004,188666994
2022,174332005,188666995
2022,174332006,188666996
2022,174332007,188666997
2022,174332008,188666998
2022,174332009,188666999
2022,174332010,188667000
2022,174332010,188667001
2022,174332011,188667002
2022,174332012,188667003
2022,174332013,188667004
2022,174332013,188667005
2022,174332014,188667006
2022,174332015,188667007
2022,174332016,188667008
2022,174332017,188667009
2022,174332018,188667010
2022,174332019,188667011
2022,174332020,188667012
