data_year,criminal_act_id,offense_id
2022,1,194317425
2022,6,194317425
2022,1,194317434
2022,8,194317443
2022,6,194317444
2022,6,194317446
2022,6,194317447
2022,6,194317458
2022,6,194317460
2022,6,194317470
2022,6,194317472
2022,6,194317473
2022,1,194317478
2022,6,194317486
2022,6,194317487
2022,8,194317488
2022,4,194317489
2022,6,194317505
2022,6,194317508
2022,6,194317512
2022,6,194317513
2022,1,194317514
2022,6,194317515
2022,6,194317516
2022,2,194317517
2022,3,194317519
2022,1,194317521
2022,6,194317522
2022,6,194317523
2022,6,181419592
2022,6,181419593
2022,1,181652957
2022,6,181419601
2022,6,182643051
2022,1,181652959
2022,6,181660092
2022,6,181660093
2022,6,181757675
2022,9,196809196
2022,6,196809197
2022,2,196809203
2022,6,196809208
2022,6,196809209
2022,6,181757676
2022,6,182643073
2022,6,182643074
2022,1,182643084
2022,1,188666987
2022,6,188666994
2022,6,183044493
2022,6,188666996
2022,6,188666998
2022,6,188667000
2022,6,188667001
2022,6,188667003
2022,6,188667006
2022,6,183044494
2022,8,182643101
2022,6,183044500
2022,6,188667025
2022,6,183117879
2022,8,183117882
2022,6,190863862
2022,6,188667040
2022,9,188667044
2022,6,188667045
2022,6,188667053
2022,6,188667060
2022,6,188667081
2022,6,188667087
2022,7,188667087
2022,3,188667088
2022,3,188667091
2022,6,188667101
2022,6,188667103
2022,6,188667107
2022,6,188667116
2022,1,191132759
2022,8,191132760
2022,6,191132761
2022,6,191132763
2022,6,191132770
2022,6,191132779
2022,6,191053846
2022,6,191053866
2022,6,191053883
2022,6,192017157
2022,6,192017163
2022,1,192017164
2022,6,190863863
2022,6,183450348
2022,6,192017171
2022,6,192017179
2022,6,183953813
2022,1,192017197
2022,6,192017203
2022,6,183953814
2022,3,192017209
2022,6,183953815
2022,6,183953820
2022,8,183988333
2022,6,192017217
2022,6,194315233
2022,6,192017223
2022,6,184289003
2022,8,184304325
2022,6,190863865
2022,6,190863866
2022,6,191053767
2022,6,197176828
2022,6,191053768
2022,6,191053771
2022,1,191053772
2022,1,191351715
2022,6,191351720
2022,8,191649413
2022,6,191654929
2022,6,195370673
2022,6,195370686
2022,3,195370687
2022,6,191791095
2022,6,195370688
2022,6,191791096
2022,12,191791099
2022,3,195370691
2022,6,195370691
2022,1,195370693
2022,6,191824149
2022,9,195370699
2022,9,195370701
2022,8,191824156
2022,9,195370705
2022,6,191824159
2022,6,191824160
2022,6,191845475
2022,6,196176288
2022,3,196176289
2022,6,196176298
2022,6,196176300
2022,6,196176305
2022,6,191845476
2022,8,191845485
2022,6,191845494
2022,6,182644020
2022,6,191845498
2022,6,182644021
2022,6,182644024
2022,6,182644025
2022,6,191845499
2022,6,182644027
2022,6,182644028
2022,8,191845500
2022,6,191848729
2022,6,182644033
2022,6,182644038
2022,6,191848730
2022,3,191848732
2022,6,191848732
2022,6,191848733
2022,9,175699900
2022,6,182644046
2022,6,182644051
2022,6,182644055
2022,6,182644057
2022,5,182644077
2022,6,182644078
2022,6,182644079
2022,6,182644080
2022,6,182644099
2022,6,182644100
2022,6,182644119
2022,5,182644120
2022,6,182981756
2022,6,184483731
2022,3,184483742
2022,6,184483762
2022,6,186678786
2022,6,186678788
2022,6,186678804
2022,6,186678805
2022,1,186678822
2022,8,186678825
2022,6,188511290
2022,6,188511294
2022,6,188511298
2022,6,188511299
2022,6,188511300
2022,6,188511310
2022,1,188511312
2022,1,188511323
2022,5,189768465
2022,7,189768471
2022,6,189768477
2022,6,189768485
2022,8,189768485
2022,6,189768486
2022,8,189768486
2022,6,189768494
2022,6,189768505
2022,6,189768506
2022,6,189768507
2022,6,189768509
2022,6,189768510
2022,6,189768512
2022,6,189768515
2022,6,189768516
2022,6,189768517
2022,6,189768530
2022,6,189768531
2022,6,191027217
2022,6,191027234
2022,6,191027235
2022,6,191027258
2022,6,194318561
2022,6,194318583
2022,6,194318588
2022,8,195763905
2022,6,195763914
2022,6,195763915
2022,9,195763922
2022,6,195763923
2022,6,195763924
2022,6,195763934
2022,9,185202147
2022,9,184370388
2022,9,183967247
2022,6,177135702
2022,9,176019206
2022,9,176608871
2022,6,176608872
2022,9,176019207
2022,9,177102454
2022,6,178504649
2022,9,196411881
2022,9,176139946
2022,6,176288849
2022,9,178397159
2022,6,187352058
2022,6,187352059
2022,9,184483711
2022,9,176139948
2022,9,185202154
2022,9,186119134
2022,9,185202155
2022,9,181494649
2022,9,185293030
2022,9,185293031
2022,9,185276965
2022,9,176139951
2022,9,177553935
2022,9,189267767
2022,9,182643252
2022,9,185372139
2022,9,198429608
2022,9,177244676
2022,9,186377304
2022,9,187336410
2022,9,195902922
2022,9,185283185
2022,9,186684713
2022,6,186684714
2022,6,190691718
2022,9,186684715
2022,9,176533720
2022,6,194319022
2022,6,194319024
2022,6,194319030
2022,6,194319033
2022,8,176533721
2022,9,177188854
2022,9,177135706
2022,6,194319070
2022,9,194315723
2022,9,185372140
2022,9,201064162
2022,6,194319094
2022,6,194319120
2022,9,176533724
2022,6,194319122
2022,3,181494650
2022,9,176547421
2022,9,182643253
2022,1,194319135
2022,9,187982871
2022,9,190728513
2022,9,196142340
2022,9,196142341
2022,6,196142348
2022,6,196142363
2022,6,196142375
2022,6,196142379
2022,1,196142380
2022,6,196142382
2022,1,187734254
2022,8,187734254
2022,8,187734255
2022,2,187734256
2022,3,187734273
2022,6,187734289
2022,8,188647538
2022,5,188647540
2022,9,185276966
2022,6,188647552
2022,6,188647553
2022,9,181312092
2022,6,177127158
2022,3,188647566
2022,6,200882025
2022,9,186621003
2022,6,186621004
2022,9,176709499
2022,1,188647574
2022,9,186621007
2022,3,188647578
2022,3,188647579
2022,9,189267789
2022,6,188647583
2022,9,185276971
2022,9,178955555
2022,9,191649455
2022,9,191649456
2022,9,179025433
2022,1,185276972
2022,9,198429611
2022,3,187734297
2022,9,183073767
2022,6,187734306
2022,9,178397162
2022,9,181522618
2022,9,189267795
2022,6,187734326
2022,3,177127160
2022,3,177127161
2022,6,177127162
2022,9,185372144
2022,9,187352060
2022,6,188511328
2022,9,185372145
2022,1,188511331
2022,9,185372146
2022,9,181286898
2022,9,185372147
2022,9,186970419
2022,6,188511342
2022,6,186970420
2022,9,182643254
2022,9,178354238
2022,8,188511353
2022,6,188511355
2022,6,189429037
2022,6,189429058
2022,6,189429059
2022,8,189429059
2022,6,189429076
2022,6,191824339
2022,9,176608878
2022,9,187352061
2022,9,176608879
2022,9,195873270
2022,3,194319650
2022,6,194319650
2022,6,194319662
2022,1,194319682
2022,2,194319690
2022,9,196142391
2022,8,196142393
2022,9,196142417
2022,7,187714988
2022,6,187714993
2022,6,187717206
2022,6,187717207
2022,8,187717213
2022,6,187717215
2022,8,187717215
2022,8,187717218
2022,6,187717223
2022,6,187717225
2022,6,187717226
2022,7,187717226
