data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2022,50052761,,51
2022,50052762,,51
2022,50052763,,51
2022,50052764,,51
2022,50052765,,51
2022,49613585,,51
2022,49613586,,51
2022,49613587,,51
2022,49613588,,51
2022,48539777,,51
2022,46860561,,51
2022,46860562,,51
2022,46881858,,51
2022,46881859,,51
2022,46860563,,51
2022,46881860,,51
2022,46881861,,51
2022,46881862,,51
2022,46967295,,51
2022,48539778,,51
2022,48576908,,51
2022,48576909,,51
2022,48576910,,51
2022,48581841,,51
2022,48626176,,51
2022,48626177,,51
2022,48626178,,51
2022,48626179,,51
2022,48626180,,51
2022,48626181,,51
2022,49613589,,51
2022,49613590,,51
2022,49613591,,51
2022,49613592,,51
2022,49613593,,51
2022,49613594,,51
2022,49613595,,51
2022,49613596,,51
2022,49613597,,51
2022,49613598,,51
2022,49836616,,51
2022,49836617,,51
2022,49836618,,51
2022,49836619,,51
2022,49836620,,51
2022,49836621,,51
2022,49836622,,51
2022,49836623,,51
2022,49836624,,51
2022,48647327,,51
2022,48647329,,52
2022,48708062,,51
2022,48708063,,51
2022,48708064,,51
2022,48708065,,51
2022,48708066,,51
2022,48708067,,51
2022,48708068,,51
2022,48708069,,51
2022,48708070,,51
2022,48709195,,51
2022,48740934,,51
2022,48740935,,51
2022,48740936,,51
2022,48741737,,51
2022,48749227,,51
2022,48749228,,51
2022,48749229,,51
2022,48749230,,51
2022,48749231,,51
2022,48749232,,51
2022,48749233,,51
2022,48749234,,51
2022,48749235,,51
2022,48749236,,51
2022,48749237,,51
2022,48751093,,51
2022,48751094,,51
2022,48751095,,51
2022,48751096,,51
2022,48751097,,51
2022,48751098,,51
2022,48751099,,51
2022,48751100,,51
2022,48751101,,51
2022,48751102,,51
2022,48755407,,51
2022,48755408,,51
2022,48755409,,51
2022,48755410,,51
2022,48755411,,51
2022,48755412,,51
2022,48755413,,51
2022,48755414,,51
2022,48755415,,51
2022,48755416,,51
2022,48755417,,51
2022,48756337,,51
2022,48756338,,51
2022,48756339,,52
2022,48756340,,51
2022,44904449,,51
2022,46560341,,51
2022,46560342,,51
2022,46560343,,51
2022,46560344,,51
2022,46560345,,51
2022,46560346,,51
2022,46560347,,51
2022,46560348,,51
2022,46560349,,51
2022,46560350,,51
2022,46560353,,51
2022,46560354,,51
2022,46560355,,51
2022,46560356,,51
2022,46560357,,51
2022,46560358,,51
2022,46637290,,51
2022,46637292,,51
2022,46637299,,51
2022,46637300,,51
2022,46637302,,51
2022,46637303,,51
2022,46637304,,51
2022,46637305,,51
2022,46637306,,51
2022,46637308,,51
2022,46637309,,52
2022,46637310,,51
2022,46637311,,51
2022,46637313,,51
2022,47011607,,51
2022,47011608,,51
2022,47011609,,51
2022,47011610,,51
2022,47011613,,51
2022,47011614,,52
2022,47011617,,51
2022,47011618,,51
2022,47508016,,51
2022,47508017,,51
2022,47508018,,51
2022,47508019,,51
2022,47508020,,51
2022,47959827,,51
2022,47959828,,51
2022,47959829,,51
2022,47959830,,51
2022,47959831,,51
2022,47959832,,51
2022,48261265,,51
2022,48261266,,51
2022,48261267,,51
2022,48261268,,51
2022,48261269,,51
2022,48261270,,51
2022,48261271,,51
2022,48261272,,51
2022,48261273,,51
2022,48261274,,51
2022,48261275,,51
2022,48261276,,51
2022,48261277,,51
2022,48261280,,51
2022,48581053,,51
2022,48581054,,51
2022,48581055,,51
2022,48581056,,51
2022,48581057,,51
2022,48581058,,51
2022,48581059,,51
2022,48581060,,51
2022,48581061,,51
2022,48581062,,51
2022,48581063,,51
2022,48581064,,51
2022,48581065,,51
2022,48581066,,51
2022,48581067,,51
2022,48581068,,51
2022,48581069,,51
2022,48581071,,51
2022,48581072,,51
2022,49360084,,51
2022,49360088,,51
2022,49360090,,51
2022,49360091,,52
2022,49360094,,51
2022,49360095,,51
2022,49360098,,51
2022,49360100,,51
2022,49360104,,1
2022,49360105,,51
2022,49360106,,51
2022,49360107,,51
2022,49360108,,51
2022,49360109,,51
2022,49740308,,51
2022,49740309,,51
2022,49740310,,51
2022,49740311,,51
2022,49740312,,51
2022,49740313,,51
2022,49360189,,51
2022,49360190,,51
2022,49360191,,51
2022,49360192,,51
2022,49360193,,51
2022,49360194,,51
2022,49360195,,51
2022,49360196,,51
2022,49360197,,51
2022,49360198,,51
2022,49360199,,51
2022,49360201,,51
2022,49360203,,51
2022,49360204,,51
2022,49360205,,51
2022,49360206,,51
2022,49360207,,51
2022,49360208,,51
2022,49360209,,51
2022,49360210,,51
2022,49360211,,51
2022,49360212,,51
2022,49360213,,51
2022,49360222,,51
2022,49360223,,51
2022,49360224,,51
2022,49360225,,51
