data_year,property_id,incident_id,prop_loss_id,stolen_count,recovered_count
2022,151352015,152459956,5,,
2022,151352016,152459956,7,,
2022,151352017,152459958,7,,
2022,151352018,152459960,7,,
2022,151352019,152459961,1,,
2022,151352020,152459962,5,,
2022,151352021,152459962,7,,
2022,151352022,152459964,5,,
2022,151352023,152459964,7,,
2022,151352024,152459966,5,,
2022,151352025,152459966,7,,
2022,151352026,152459967,7,,
2022,157537315,159617076,7,,
2022,151352028,152459969,5,,
2022,151352029,152459969,7,,
2022,151352030,152459972,7,,
2022,151352032,152459974,7,,
2022,151352033,152459975,7,,
2022,151352034,152459977,6,,
2022,151352035,152459978,4,,
2022,151352036,152459979,7,,
2022,151352037,152459980,4,,
2022,151352038,152459982,4,,
2022,151352039,152459983,7,,
2022,151352040,152459984,7,,
2022,151352041,152459985,4,,
2022,151352042,152459986,7,,
2022,151352043,152459987,1,,
2022,151352044,152459988,4,,
2022,151352045,152459989,7,,
2022,151352046,152459990,7,,
2022,151352047,152459991,1,,
2022,151352048,152459992,7,,
2022,151352049,152459993,5,,
2022,151352050,152459993,7,,
2022,151352051,152459994,7,,
2022,151352052,152459995,7,,
2022,151352053,152459996,7,,
2022,151352054,152459998,7,,
2022,151352055,152459999,7,,
2022,151352056,152460000,7,,
2022,151653078,152807248,6,,
2022,151352057,152460001,7,,
2022,151653079,152807249,7,,
2022,151352058,152460003,5,,
2022,151352059,152460003,7,,
2022,151352060,152460005,7,,
2022,151352061,152460006,7,,
2022,151352062,152460007,5,,
2022,151352063,152460007,7,,
2022,151653080,152807251,5,,
2022,151653081,152807251,7,,
2022,151653082,152807252,5,,
2022,151706551,152870904,5,,
2022,151706552,152870905,1,,
2022,151921827,153121685,5,,
2022,151921828,153121685,7,,
2022,151732436,152902527,5,,
2022,151732437,152902527,7,,
2022,151732438,152902528,5,,
2022,151732439,152902528,7,,
2022,151921829,153121687,7,,
2022,151921830,153121688,5,,
2022,151921831,153121688,7,,
2022,157540684,159620802,1,,
2022,151921833,153121690,1,,
2022,151952808,153156232,1,,
2022,152248306,153506635,7,,
2022,152248307,153506636,7,,
2022,152248308,153506638,5,,
2022,152248309,153506638,7,,
2022,152248310,153506640,5,,
2022,152248311,153506640,7,,
2022,152248312,153506641,7,,
2022,152248313,153506642,5,,
2022,152248314,153506642,7,,
2022,152337217,153602343,5,,
2022,152337218,153602343,7,,
2022,152248317,153506644,5,,
2022,152248318,153506644,7,,
2022,152248319,153506645,5,,
2022,152248320,153506645,7,,
2022,152292625,153548223,4,,
2022,152292626,153548223,7,,
2022,152292627,153548224,4,,
2022,152292628,153548224,7,,
2022,152292629,153548225,4,,
2022,152292630,153548225,7,,
2022,152337219,153602344,1,,
2022,152584640,153894162,1,,
2022,152337221,153602347,5,,
2022,152337222,153602347,7,,
2022,152337223,153602348,3,,
2022,152337224,153602348,6,,
2022,152337225,153602349,7,,
2022,152337226,153602350,7,,
2022,152337227,153602351,7,,
2022,152337228,153602352,1,,
2022,152361708,153633030,7,,
2022,152361709,153633031,3,,
2022,152361710,153633031,7,,
2022,160130065,162620964,6,,
2022,152584641,153894163,7,,
2022,152584642,153894164,6,,
2022,157844178,159967926,7,,
2022,152595947,153907755,3,,
2022,152595948,153907757,4,,
2022,152620143,153936616,4,,
2022,157540685,159620804,6,,
2022,157647083,159747678,4,,
2022,157647084,159747679,4,,
2022,157647085,159747680,1,,
2022,157647086,159747684,5,,
2022,157647087,159747684,7,,
2022,157647088,159747685,5,,
2022,157647089,159747685,7,,
2022,157647090,159747686,5,,
2022,157647091,159747686,7,,
2022,157647092,159747687,7,,
2022,157681806,159787590,6,,
2022,157681810,159787592,1,,
2022,157844179,159967930,1,,
2022,157844180,159967932,1,,
2022,157844181,159967933,7,,
2022,157844182,159967936,7,,
2022,157844183,159967937,7,,
2022,157844184,159967938,7,,
2022,157844185,159967939,7,,
2022,157907164,160044152,1,,
2022,157907166,160044154,7,,
2022,158132847,160309172,5,,
2022,158132848,160309172,7,,
2022,158132849,160309173,5,,1
2022,158132850,160309173,7,1,
2022,158132851,160309174,7,,
2022,158132852,160309175,1,,
2022,158132853,160309175,7,,
2022,158132854,160309176,7,,
2022,158132856,160309178,5,,
2022,158132857,160309178,7,,
2022,158132858,160309179,5,,
2022,158132859,160309179,7,,
2022,158132861,160309181,1,,
2022,158132862,160309182,7,,
2022,158132864,160309184,1,,
2022,158132866,160309186,7,,
2022,158132868,160309189,7,,
2022,158132870,160309191,7,,
2022,158132872,160309193,7,,
2022,158132874,160309195,5,,
2022,158132875,160309195,7,,
2022,158132878,160309198,7,,
2022,158132880,160309200,7,,
2022,158136982,160313952,4,,
2022,158136983,160313952,7,,
2022,158136984,160313953,6,,
2022,158248956,160431591,6,,
2022,158248957,160431592,1,,
2022,158248958,160431593,5,,
2022,158248959,160431593,7,,
2022,158248960,160431595,1,,
2022,158248961,160431596,1,,
2022,158250769,160434015,5,,
2022,158250770,160434015,7,,
2022,158272975,160460306,5,,
2022,158272976,160460306,7,,
2022,158272977,160460309,7,,
2022,158272978,160460311,5,,
2022,158272979,160460311,7,,
2022,158272980,160460312,5,,
2022,158272981,160460312,7,,
2022,158272982,160460313,5,,
2022,158272983,160460313,7,,
2022,158272984,160460314,3,,
2022,158272985,160460314,7,,
2022,158272986,160460315,7,,
2022,158272987,160460316,6,,
2022,158272988,160460317,7,,
2022,158272989,160460319,4,,
2022,158272990,160460319,7,,
2022,158272991,160460320,7,,
2022,158272992,160460322,1,,
2022,158272993,160460323,5,,
2022,158272994,160460323,7,,
2022,158272995,160460324,7,,
2022,158272996,160460325,5,,
2022,158272997,160460325,7,,
2022,158272998,160460326,5,,1
2022,158272999,160460326,7,1,
2022,158273000,160460327,5,,
2022,158273001,160460327,7,,
2022,158273002,160460328,7,,
2022,158273003,160460329,1,,
2022,158273004,160460330,7,,
2022,158278227,160466492,7,1,
2022,158278228,160466493,7,,
2022,158278229,160466494,7,,
2022,158278230,160466495,7,,
2022,158278231,160466496,7,,
2022,158278232,160466497,7,,
2022,158278233,160466498,7,,
2022,158278234,160466499,7,,
2022,158278235,160466500,7,,
2022,158278236,160466501,7,,
2022,158278237,160466502,7,,
2022,158278238,160466503,5,,
2022,158278239,160466503,7,,
2022,158288622,160478795,5,,
2022,158288623,160478795,7,,
2022,158288624,160478796,4,,
2022,158288625,160478797,6,,
2022,158288626,160478798,7,,
2022,158288627,160478799,5,,
2022,158288628,160478799,7,,
2022,158288629,160478800,5,,
2022,158288630,160478800,7,,
2022,158288631,160478801,5,,
2022,158288632,160478801,7,,
2022,158288633,160478802,5,,
2022,158288634,160478802,7,,
2022,158288635,160478803,4,,
2022,158288636,160478804,5,,
2022,158288637,160478804,7,,
2022,158288638,160478805,3,,
2022,158288639,160478805,7,,
2022,158288640,160478806,7,,
2022,158288641,160478807,5,,
2022,158288642,160478807,7,,
2022,158288643,160478808,7,,
2022,158288644,160478810,7,,
2022,158288645,160478811,7,,
2022,158288646,160478812,5,,1
2022,158288647,160478812,6,,
2022,158288648,160478812,7,1,
2022,158288649,160478813,7,,
2022,158288650,160478814,1,,
2022,158288651,160478815,1,,
2022,158288652,160478816,6,,
2022,158288653,160478818,7,,
2022,158288654,160478820,7,,
2022,158290950,160481640,6,,
2022,156337815,158243386,5,,
2022,156337816,158243386,7,,
2022,156327905,158230615,7,,
2022,156327906,158230616,7,,
2022,156327907,158230617,7,,
2022,156327908,158230618,7,,
2022,146333914,146628147,4,,
2022,156327909,158230619,7,,
2022,163228333,166220191,7,,
2022,150511165,151480813,7,,
2022,146138266,146404953,7,,
2022,146138267,146404954,7,,
2022,156327911,158230621,7,,
2022,153268109,154692474,4,,
2022,153268110,154692474,7,,
2022,148800003,149504279,7,,
2022,148234852,148859846,7,,
2022,163420951,166436599,5,,1
2022,163420952,166436599,7,1,
2022,147206379,147665159,6,,
2022,148234853,148859847,7,1,
2022,146288349,146573428,4,,
2022,146807053,147203036,6,,
2022,146288351,146573430,4,,
2022,153268111,154692475,7,,
2022,153268112,154692476,4,,
2022,153268113,154692476,7,,
2022,147206380,147665160,7,,
2022,148234854,148859848,6,,
2022,148234855,148859848,7,,
2022,148771153,149469793,7,,
2022,161724389,164463760,7,,
2022,146570545,146914974,6,,
2022,146570546,146914974,7,,
2022,156327913,158230623,7,,
2022,163228334,166220192,7,,
2022,156327915,158230625,7,,
2022,153268114,154692477,4,,
2022,154902357,156564063,6,,
2022,156337817,158243387,7,,
2022,156327916,158230626,7,,
2022,152347132,153614506,7,,
2022,148460694,149131340,7,,
2022,147183712,147635546,7,,
2022,156327917,158230627,5,,
2022,156327918,158230627,7,,
2022,148570068,149258580,7,,
2022,148153435,148766155,7,,
2022,154151508,155712926,1,,
2022,154151509,155712926,4,,
2022,160755148,163337421,5,,1
2022,160755149,163337421,7,1,
2022,157469786,159540592,7,,
2022,156327921,158230630,7,,
2022,146459084,146784815,4,,
2022,160755150,163337422,5,,1
2022,160755151,163337422,7,1,
2022,156327923,158230632,7,,
2022,156327924,158230633,7,,
2022,166916477,170433676,7,,
2022,154892234,156550100,7,,
2022,153339039,154772022,1,,
2022,153339040,154772022,7,,
2022,146479725,146811366,4,,
2022,147524195,148031652,5,,
2022,147524196,148031652,7,,
2022,156327926,158230635,4,,
2022,156327927,158230635,7,,
2022,156327928,158230636,4,,
2022,156327929,158230636,7,,
2022,147524197,148031653,7,,
2022,151675640,152832339,7,,
2022,153268115,154692480,7,,
2022,160755152,163337423,5,,1
2022,160755153,163337423,7,1,
2022,146760997,147149802,4,,
2022,153268116,154692481,7,,
2022,156337818,158243388,7,,
2022,156327932,158230639,7,,
2022,157409992,159473074,3,,
2022,157409993,159473074,7,,
2022,154390733,155990660,5,,
2022,154390734,155990660,7,,
2022,156327933,158230640,7,,
2022,156327934,158230641,4,,
2022,156327935,158230641,7,,
2022,146751023,147137772,7,,
2022,147245108,147710473,7,,
2022,161953686,164730354,1,,
2022,161953687,164730354,4,,
2022,156327939,158230643,7,,
2022,156327940,158230644,7,,
2022,153399560,154838790,4,,
2022,160755154,163337424,5,,1
2022,160755155,163337424,7,1,
2022,156327941,158230645,7,,
2022,146751024,147137773,4,,
2022,150487324,151457136,6,,
2022,156327942,158230646,7,,
2022,156327943,158230647,7,,
2022,157438232,159505291,7,,
2022,148234856,148859849,7,,
2022,154869773,156526456,7,,
2022,156327944,158230648,7,,
