data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2022,4,163658487,14.000,1,14828057
2022,4,152359255,25.000,1,13237170
2022,1,152359255,16.000,1,13237171
2022,4,152294995,3.000,1,13228865
2022,1,152294995,1.000,1,13228866
2022,4,155447907,6.000,9,13703635
2022,1,151362049,1.000,1,13085717
2022,4,152359256,155.000,1,13237172
2022,12,151362065,1.000,9,13085719
2022,5,151362071,1430.000,1,13085720
2022,1,151362071,13.000,1,13085721
2022,1,152359256,1.300,1,13237173
2022,2,152403457,1.000,1,13246091
2022,5,154651697,1.000,1,13592790
2022,5,151362110,9.200,3,13085723
2022,4,156326831,39.000,1,13826316
2022,16,151614208,2.000,1,13121016
2022,5,152620475,5.000,4,13277508
2022,16,152620475,7.000,1,13277509
2022,1,156326831,5.000,1,13826317
2022,2,152996105,1.000,1,13331661
2022,1,157195126,1.000,1,13952095
2022,17,152620489,1.000,1,13277510
2022,12,152986702,66.500,1,13330075
2022,5,152986702,256.000,1,13330076
2022,5,154392747,64.000,1,13547277
2022,4,152986706,24.000,1,13330077
2022,5,153973361,1.000,1,13483767
2022,12,153973377,1.000,1,13483768
2022,1,153973378,7.000,1,13483769
2022,16,153973388,1.000,1,13483770
2022,16,153973400,44.000,1,13483771
2022,12,153973400,10.000,1,13483772
2022,2,153973400,82.000,1,13483773
2022,4,154392748,8.000,1,13547278
2022,4,153270974,96.000,1,13384585
2022,4,153818709,74.000,9,13460611
2022,8,153217595,3.000,9,13377875
2022,17,153217595,5.000,9,13377876
2022,4,154804745,3.000,1,13614356
2022,4,152986710,45.000,1,13330078
2022,2,156361863,1.000,1,13830500
2022,1,152986710,18.000,1,13330079
2022,4,153747489,32.000,1,13451083
2022,1,153747489,10.000,1,13451084
2022,1,163841920,14.000,1,14853977
2022,16,157441415,2.000,1,13985181
2022,1,157441415,1.000,3,13985182
2022,4,163841920,24.000,1,14853978
2022,5,158971762,1.000,1,14191994
2022,4,155410183,1.000,1,13694000
2022,1,153614348,1.000,1,13432587
2022,1,160148151,10.000,1,14351668
2022,16,153614348,17.000,9,13432588
2022,1,152986719,0.500,1,13330081
2022,4,152986719,30.000,9,13330082
2022,12,154892244,2.000,1,13625093
2022,2,161227683,3.900,3,14511306
2022,1,153444628,16.000,1,13408084
2022,4,153444628,10.000,1,13408085
2022,1,153818713,3.500,1,13460612
2022,5,153818714,115.000,1,13460613
2022,12,153818714,12.000,1,13460614
2022,2,153648448,58.000,1,13438057
2022,4,153648448,29.500,1,13438058
2022,5,158310956,129.000,1,14101209
2022,8,160139237,10.000,9,14351064
2022,12,160139239,1.000,1,14351065
2022,4,160139252,5.000,1,14351067
2022,12,160139252,1.000,1,14351068
2022,4,160139256,1.000,1,14351069
2022,4,160139259,1.000,1,14351070
2022,4,160139260,7.000,1,14351071
2022,1,160139260,9.000,1,14351072
2022,4,160139303,1.000,1,14351074
2022,4,160139307,1.000,1,14351075
2022,11,160139307,2.000,9,14351076
2022,15,160139307,1.000,9,14351077
2022,4,160753607,1.000,1,14436883
2022,4,160753615,30.000,1,14436884
2022,15,160753615,2.000,9,14436885
2022,8,160753615,1.000,9,14436886
2022,4,160753621,30.000,1,14436887
2022,16,160753621,11.000,9,14436888
2022,4,160753623,2.000,1,14436889
2022,12,160753625,1.000,1,14436890
2022,15,160753625,2.000,9,14436891
2022,1,158310956,2.200,9,14101210
2022,1,153792123,20.000,1,13457265
2022,12,160753631,1.110,3,14436892
2022,11,160753631,1.000,1,14436893
2022,4,160753637,1.000,1,14436894
2022,17,153792123,1.000,11,13457266
2022,12,155697558,1.000,1,13736652
2022,12,163188480,1.000,9,14755831
2022,5,154892252,5.000,1,13625094
2022,2,163188485,1.000,1,14755832
2022,1,163188492,0.670,1,14755833
2022,16,154892252,34.000,1,13625095
2022,8,154640962,12.000,1,13591145
2022,12,163188500,0.120,1,14755834
2022,5,163188503,296.780,1,14755835
2022,12,163188503,1.920,9,14755836
2022,12,163188505,1.000,1,14755837
2022,1,163188515,0.340,1,14755838
2022,5,157326786,9.000,1,13968611
2022,4,157326787,2.000,9,13968612
2022,1,154640962,1.000,1,13591146
2022,4,154640963,7.000,1,13591147
2022,1,154640963,3.000,1,13591148
2022,1,154392754,1.000,1,13547279
2022,5,154392754,54.000,1,13547280
2022,4,155385653,4.000,1,13690424
2022,5,155385653,1.000,11,13690425
2022,1,155360150,11.000,1,13686818
2022,4,155404612,70.000,1,13693085
2022,16,155404612,16.000,9,13693086
2022,1,154804753,1.000,1,13614358
2022,16,154804753,6.000,9,13614359
2022,8,154640971,67.500,1,13591149
2022,8,166544002,4.000,9,15231342
2022,1,154559281,1.000,1,13575038
2022,1,154928330,1.000,1,13630418
2022,5,151356827,1.000,1,13085367
2022,16,154658441,1.000,1,13593508
2022,1,151356828,1.000,11,13085368
2022,12,151397469,1.000,9,13092742
2022,2,154658441,4.000,1,13593509
2022,4,156112212,4.000,1,13797184
2022,1,151397496,1.000,11,13092743
2022,1,151397520,0.500,3,13092744
