data_year,property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
2022,160131665,38,675,,
2022,160131666,38,7123,,
2022,160131668,35,6850,,
2022,160131669,10,,,
2022,160131670,17,10400,,
2022,160131670,20,300,,
2022,160131670,25,6800,,
2022,160131671,20,54,,
2022,160131672,10,,,
2022,160131672,11,1,,
2022,160131673,3,115000,2022-11-12,
2022,160131673,38,115000,2022-11-12,
2022,160131674,63,5,2022-11-12,
2022,160131675,11,1,,
2022,160131676,20,6730,,
2022,160131677,31,500,,
2022,160131678,10,,,
2022,160131679,63,38,,
2022,160131680,3,5000,2022-11-14,
2022,160131681,51,0,,
2022,160131682,9,0,,
2022,158652862,20,1,,
2022,158652862,63,5000,,
2022,158652863,20,21000,,
2022,158618541,63,609,,
2022,158652864,25,125,,
2022,158618542,19,877,,
2022,158652865,38,700,,
2022,158618544,20,100,,
2022,160129996,29,100,,
2022,158652866,8,2,,
2022,158652867,36,314,2022-10-03,
2022,158652868,36,314,,
2022,158652871,10,,,
2022,158652872,20,160,,
2022,158652873,20,538,,
2022,158618545,38,100,,
2022,165968051,10,,,
2022,165968051,11,1,,
2022,158652875,67,1,,
2022,165968052,10,,,
2022,160129998,11,1,,
2022,158652876,36,1,,
2022,158652877,8,6,,
2022,158652877,63,320,,
2022,158618546,63,1,,
2022,158652878,3,1,,
2022,158652879,8,3,2022-10-10,
2022,158652880,8,3,,
2022,158652880,36,368,,
2022,158652883,63,1500,,
2022,160129999,29,1,,
2022,158652885,38,1600,,
2022,160130000,36,292,,
2022,158652886,10,,,
2022,162023895,20,5,,
2022,158652887,3,30000,,
2022,158652888,35,150,,
2022,158618550,63,150,,
2022,158652889,36,1728,,
2022,158652890,9,0,,
2022,158652890,20,20,,
2022,158652890,25,250,,
2022,158652890,51,0,,
2022,158652890,63,15,,
2022,158652891,3,1,2022-10-16,
2022,158652892,3,2,,
2022,158652895,38,860,,
2022,158652896,19,1,,
2022,160130001,51,0,,
2022,160130002,51,0,,
2022,158652897,16,245,,
2022,158780852,3,1144,,
2022,158780852,29,816,,
2022,158652899,9,0,,
2022,158652899,20,510,,
2022,158652899,51,0,,
2022,158652899,63,20,,
2022,158733563,3,21000,,
2022,158652901,3,6769,,
2022,158652901,15,30964,,
2022,158652903,42,95,,
2022,158618553,36,239,2022-10-20,
2022,158618554,36,239,,
2022,158652905,38,24,,
2022,160130004,19,3331,,
2022,158652906,4,50,,
2022,158652907,10,,,
2022,160130005,10,,,
2022,165007896,11,1,,
2022,162023896,6,24,,
2022,162023897,38,7000,,
2022,162023898,38,17500,,
2022,162023899,31,200,,
2022,162023900,19,2420,2022-12-10,
2022,162023901,19,2420,,
2022,162023902,61,1000,2022-12-10,
2022,162023903,61,1000,,
2022,160130007,51,0,,
2022,160130008,6,1,,
2022,160130008,16,1,,
2022,160130008,20,300,,
2022,160130008,61,300,,
2022,160130009,10,,,
2022,160130009,11,1,,
2022,160130010,10,,,
2022,160130010,11,2,,
2022,160130012,10,,,
2022,164855725,29,100,,
2022,164855726,20,15,,
2022,160130013,63,20,,
2022,160130014,10,,,
2022,162023904,3,7500,2022-12-20,
2022,162023905,3,7500,,
2022,158780854,20,100,,
2022,158780854,63,12,,
2022,160130015,16,1,,
2022,160130017,63,71,,
2022,158783466,63,150,,
2022,160130018,42,1,,
2022,160130019,16,4,,
2022,160130020,20,100,,
2022,165968053,10,,,
2022,162023906,63,3404,,
2022,160130021,3,1,,
2022,160130023,16,1,,
2022,160130023,36,1,,
2022,160130024,3,1,2022-11-23,
2022,160130025,3,1,,
2022,160130026,38,1,,
2022,160130027,10,,,
2022,160130027,11,1,,
2022,160130028,19,171,,
2022,160130029,19,222,,
2022,160130030,19,184,,
2022,160130031,19,244,,
2022,160130032,19,198,,
2022,160130035,19,254,,
2022,160130036,19,140,,
2022,160130037,20,1,,
2022,160977977,47,0,,
2022,160130038,20,1,,
2022,160130039,63,0,,
2022,160130040,3,600,,
2022,160130041,19,182,,
2022,161006281,8,106,,
2022,160130042,19,16,2022-11-19,
2022,160130043,16,59,,
2022,160130043,19,16,,
2022,165968054,10,,,
2022,165968054,11,2,,
2022,160130045,16,1,,
2022,160130046,16,135,,
2022,165968055,10,,,
2022,160130047,51,0,,
2022,162058208,35,100,,
2022,162023907,50,251,,
2022,162023908,63,50,,
2022,162058209,17,4100,,
2022,162023909,19,32,2022-12-20,
2022,162023910,19,257,,
2022,162023911,11,1,,
2022,162023912,9,0,,
2022,162023912,20,30,,
2022,162023913,29,500,,
2022,162023914,20,7500,,
2022,160783243,35,100,,
2022,160783244,17,14410,,
2022,160130052,3,20000,,
2022,161125604,20,105,,
2022,160130054,8,13,,
2022,160130054,16,68,,
2022,160130055,7,899,,
2022,160130056,20,2400,,
2022,160130057,59,200,,
2022,160130059,20,100,,
2022,160130060,19,1,,
2022,160130061,29,150,,
2022,160448883,10,,,
2022,160448883,11,1,,
2022,160130062,25,15,,
2022,165968056,10,,,
2022,165968056,11,1,,
2022,160481742,63,125,,
2022,163222683,20,24138,2023-01-09,
2022,163222684,20,24138,,
2022,166682717,13,1400,,
2022,160130064,42,400,,
2022,160467503,7,2000,,
2022,160448884,25,25,,
2022,160448884,61,200,,
2022,160448884,63,25,,
