data_year,victim_id,offender_id,relationship_id,nibrs_victim_offender_id
2022,168319677,173140731,3,
2022,168319678,173140732,25,
2022,168319678,173140733,5,
2022,168319679,173140732,17,
2022,168319679,173140733,25,
2022,168319680,173140734,1,
2022,168319684,173140738,3,
2022,168319692,173140746,16,
2022,168319695,173140749,17,
2022,168319712,173140767,18,
2022,168319713,173140767,18,
2022,168319714,173140768,21,
2022,168319716,173140773,17,
2022,168715753,173532624,3,
2022,168715755,173532626,24,
2022,174331993,179096374,3,
2022,168789086,173603831,24,
2022,174331994,179096375,24,
2022,174331994,179096376,24,
2022,168789088,173603833,3,
2022,174331995,179096377,17,
2022,168824832,173638696,24,
2022,174331998,179096380,11,
2022,174331999,179096381,3,
2022,174332000,179096382,1,
2022,169079693,173893696,3,
2022,174332001,179096383,3,
2022,169079694,173893697,24,
2022,174332003,179096385,3,
2022,176523183,181255659,24,
2022,174332005,179096387,3,
2022,174332007,179096389,1,
2022,169120178,173933189,18,
2022,174332011,179096393,3,
2022,174332013,179096394,3,
2022,174332015,179096395,16,
2022,174332016,179096396,1,
2022,169516063,174331008,14,
2022,174332018,179096398,21,
2022,176523184,181255660,24,
2022,174332020,179096400,24,
2022,169516067,174331012,3,
2022,174332022,179096402,3,
2022,169625824,174437756,24,
2022,174332025,179096405,3,
2022,174332026,179096406,24,
2022,169625824,174437757,24,
2022,169625834,174437766,18,
2022,174332029,179096410,3,
2022,174332037,179096418,24,
2022,174332044,179096424,3,
2022,169662393,174473950,3,
2022,174332048,179096427,1,
2022,176923392,181648146,11,
2022,174332056,179096434,3,
2022,176923392,181648147,17,
2022,174332058,179096436,1,
2022,174332058,179096437,1,
2022,169975511,174782189,21,
2022,174332061,179096440,1,
2022,176668940,181400599,3,
2022,176668943,181400602,24,
2022,174332068,179096448,21,
2022,176668944,181400603,3,
2022,176668945,181400604,16,
2022,174332072,179096450,1,
2022,174332072,179096451,1,
2022,176668946,181400605,24,
2022,176668948,181400607,16,
2022,174332077,179096456,26,
2022,176713719,181445038,18,
2022,174332080,179096459,17,
2022,176923393,181648148,16,
2022,176923394,181648149,3,
2022,176923395,181648150,14,
