data_year,victim_id,injury_id
2022,176395009,6
2022,176395010,4
2022,176395012,4
2022,176395015,5
2022,164067324,4
2022,170041030,4
2022,171734180,5
2022,164067325,5
2022,164067326,5
2022,164598656,5
2022,164530221,5
2022,164067327,4
2022,187745417,4
2022,176395022,5
2022,165634665,4
2022,173425125,4
2022,164530228,5
2022,166993946,5
2022,171805245,4
2022,172358900,5
2022,171109578,5
2022,169639558,5
2022,171109579,4
2022,164530233,1
2022,164681298,5
2022,171240590,5
2022,169616749,5
2022,164675887,4
2022,173040415,5
2022,176369899,8
2022,164675889,5
2022,171708773,4
2022,171708774,4
2022,171346736,5
2022,164675892,4
2022,171240591,4
2022,165877332,4
2022,164681302,5
2022,177492686,3
2022,171240592,4
2022,164744529,4
2022,182710871,5
2022,171240593,4
2022,171240594,5
2022,185104756,4
2022,176369900,5
2022,176395040,5
2022,176395041,6
2022,176395043,5
2022,176395044,5
2022,175708141,5
2022,176395046,5
2022,176395050,3
2022,176395050,6
2022,176395051,2
2022,172709210,1
2022,172709210,3
2022,172709210,8
2022,171115894,4
2022,176395055,5
2022,171386957,4
2022,166258137,4
2022,176395056,5
2022,170007643,4
2022,176617876,4
2022,176395057,5
2022,184071556,5
2022,164957241,5
2022,165634696,4
2022,165634697,4
2022,165097873,4
2022,165215917,5
2022,165215918,5
2022,165097874,4
2022,176395060,4
2022,165215920,5
2022,172973166,5
2022,176395066,5
2022,171240597,4
2022,171224824,5
2022,176395068,4
2022,168319886,5
2022,165272856,4
2022,182365073,4
2022,165818912,2
2022,176395074,5
2022,176395075,4
2022,176395077,5
2022,176395078,4
2022,165818912,3
2022,165634701,5
2022,171240598,4
2022,171240599,4
2022,171240600,5
2022,165731208,4
2022,176395085,5
2022,171240602,5
2022,176395086,4
2022,176395087,3
2022,171346746,5
2022,171346747,5
2022,184951879,5
2022,176395092,4
2022,168889721,4
2022,176395095,4
2022,178415725,4
2022,178415726,4
2022,178415730,4
2022,178415732,4
2022,178415736,4
2022,178415743,4
2022,178415745,4
2022,178415759,5
2022,178415762,4
2022,178415764,6
2022,178415769,4
2022,178415772,4
2022,178415779,4
2022,178415785,6
2022,178415797,4
2022,178415804,5
2022,178415814,4
2022,178415819,4
2022,178415820,4
2022,178415823,4
2022,178415825,4
2022,178415840,4
2022,178415842,6
2022,178415845,5
2022,178415848,5
2022,178415857,4
2022,178415861,4
2022,178415863,4
2022,178415880,4
2022,178415882,6
2022,178415914,4
2022,178415916,6
2022,178415928,4
2022,178415939,4
2022,178415953,4
2022,178415961,4
2022,178415967,4
2022,179980391,4
2022,179980393,4
2022,179980394,4
2022,179980395,6
2022,179980396,6
2022,179980399,5
2022,179980401,4
2022,179980403,6
2022,179980406,6
2022,179980409,4
2022,179980411,5
2022,179980412,6
2022,179980424,4
2022,179980425,8
2022,179980436,5
2022,179980437,5
2022,179980438,5
2022,179980443,4
2022,179980447,5
2022,179980448,4
2022,179980449,5
2022,179980450,4
2022,179980451,4
2022,168319896,4
2022,167283016,4
2022,171346749,5
2022,179980456,4
2022,179980464,5
2022,179980471,5
2022,179980472,6
2022,179980474,5
2022,179980476,5
2022,179980479,4
2022,179980481,4
2022,181410359,6
2022,181410362,5
2022,181410363,2
2022,181410367,4
2022,181410371,5
2022,181410373,4
2022,181410378,6
2022,181410386,4
2022,181410387,4
2022,181410389,4
2022,181410392,6
2022,171224825,5
2022,171224826,5
2022,167200150,3
2022,166993955,5
2022,181410415,4
2022,181410416,4
2022,181410444,4
2022,183973592,5
2022,187700011,5
2022,187700057,6
2022,179969025,5
2022,179969026,4
2022,179969027,4
2022,179969035,4
2022,179969037,4
2022,179969038,4
2022,179969058,5
2022,179969059,5
2022,179969061,4
2022,179969065,5
2022,179969077,5
2022,179969080,4
2022,179969087,5
2022,179969088,4
2022,179969097,5
2022,179969117,5
2022,180779879,4
2022,180779895,4
2022,180779903,5
2022,179969121,5
2022,179969122,5
2022,179969140,5
2022,179969141,5
2022,179969146,5
2022,179969148,5
2022,165818924,4
2022,177317005,4
2022,184020057,4
2022,184020059,4
2022,184020063,5
2022,184020064,5
2022,171240603,4
2022,184020087,4
2022,184020098,5
2022,184020106,5
2022,167118805,5
2022,165877358,4
2022,171240604,4
2022,184755395,5
2022,166636050,4
2022,167128492,5
2022,171340610,5
2022,166636051,5
2022,166636052,5
2022,166636053,5
2022,173375853,2
2022,173375853,6
2022,175660823,5
2022,176241336,5
2022,172941209,4
2022,173015151,5
2022,173015152,5
2022,167086499,5
2022,171240605,3
2022,171340611,4
2022,173053883,5
2022,173053884,5
2022,166258182,4
2022,166636055,4
2022,166636056,4
2022,176293858,5
2022,187670490,5
2022,175844851,4
2022,175844852,4
2022,169639559,6
2022,172681134,4
2022,167211685,4
2022,166993965,5
2022,169841783,5
2022,165302829,5
2022,165302840,4
2022,165302853,6
2022,169841784,5
2022,187745418,4
2022,176660346,4
2022,165302861,5
2022,165302865,4
2022,165302869,4
2022,165302873,3
2022,165302874,5
2022,166992594,5
2022,167086504,5
2022,171401755,5
2022,172684834,4
2022,169569508,5
2022,167200151,5
2022,168319920,5
2022,167118813,5
2022,167118814,4
2022,170041031,7
2022,182618348,5
2022,166992598,4
2022,166992599,4
2022,167086513,4
2022,167161156,4
2022,167136909,5
2022,176617877,5
2022,167128495,4
2022,167128496,4
2022,167172741,4
2022,167136913,5
2022,167442869,4
2022,184071562,5
2022,179958037,3
2022,166992607,5
2022,166992608,5
2022,166992613,5
2022,167427349,5
2022,166992617,5
2022,166992619,5
2022,166992629,2
2022,166992630,8
2022,166992631,2
2022,168319927,4
2022,169579727,4
2022,167128500,4
2022,167211687,4
2022,167283023,5
2022,167154910,4
2022,167154912,5
2022,168319930,1
2022,168319930,2
2022,167172742,5
2022,168379444,5
2022,168379445,5
2022,167154915,4
2022,167283025,4
2022,167154916,4
2022,167211690,5
2022,168379449,5
2022,168379450,5
2022,167161161,3
2022,170875754,4
2022,168379453,6
2022,168379454,5
2022,171456549,4
2022,168319939,4
2022,168319940,4
2022,168319942,5
2022,171378058,6
2022,168379460,2
2022,168379467,5
2022,168379481,5
2022,169951511,5
2022,176293859,4
2022,168319956,5
2022,179958039,6
2022,179958039,8
2022,168319963,4
2022,169130472,5
2022,171449311,5
2022,168379486,5
2022,168379504,5
2022,168379506,4
2022,187138577,4
2022,187138578,4
2022,168379510,5
2022,168379516,5
2022,168379526,4
2022,168379530,5
2022,168379534,5
2022,168319966,5
2022,171449314,4
2022,168379541,5
2022,168379545,5
2022,168379546,5
2022,168379547,5
2022,169052123,5
2022,169052129,6
2022,169052130,6
2022,169052132,5
2022,169052133,5
2022,169052135,4
2022,169052136,5
2022,169052137,5
2022,169052143,5
2022,169052150,5
2022,172681138,5
2022,171456550,5
2022,175850311,3
2022,175850311,4
2022,168384918,5
2022,167340969,5
2022,168319979,5
2022,167442871,4
2022,187138579,5
2022,169052161,5
2022,169052162,4
2022,173517688,5
2022,168319980,4
2022,175033557,5
2022,170950664,5
2022,170950665,5
2022,169052172,4
2022,172045807,6
2022,171456552,5
2022,170875759,5
2022,170875760,4
2022,170875761,4
2022,175087292,4
2022,172045808,5
2022,169052184,4
2022,169052188,4
2022,169052189,5
2022,169052192,5
2022,169052198,5
2022,169052200,3
2022,169052202,8
2022,187138580,4
2022,170145326,5
2022,170145327,4
2022,170145328,4
2022,170145330,4
2022,170145332,5
2022,170145336,5
2022,170145338,5
2022,170145342,5
2022,170145366,5
2022,170145368,4
2022,170145376,5
2022,170145378,5
2022,175087293,4
2022,179958044,5
2022,174857197,4
2022,168744721,4
2022,171805249,4
2022,176098469,4
2022,168830878,4
2022,170145384,6
2022,170871991,4
2022,168320018,4
2022,172973170,5
2022,171734187,5
2022,174639361,4
2022,168320024,4
2022,169951512,5
2022,170807091,5
2022,171456555,4
2022,168320031,5
2022,170145391,5
2022,170145399,4
2022,170145407,4
2022,170145408,4
2022,168320035,5
2022,168320036,4
2022,171734189,5
2022,171734193,4
2022,168320041,5
2022,171734197,4
2022,172045833,5
2022,172045835,4
2022,172045843,5
2022,172045856,4
2022,178197043,4
2022,172045864,4
2022,172045871,4
2022,172045875,5
2022,172045879,4
2022,172045881,5
2022,172045886,5
2022,172045888,6
2022,172045890,5
2022,176518947,5
